Gene ID,Homologs,Symbol,NCBI Gene ID,HGNC,Description,Category,Score,Evidence,Notes
ENSG00000108561,ENSG00000108561 ENSDARG00000039887 ENSMUSG00000018446 ENSRNOG00000006949 ,C1QBP,708,HGNC:1243,"complement component 1, q subcomponent binding protein",Known mitochondrial,0.999999999,PMID14651853_Sum: 3 | PMID15253431_Sum: 2 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID15501831_Sum: 2 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID16120276_neuroblastoma_cell_line_SH.SY5Y_0: 1 | PMID16615898_Sum: 6 | PMID21189371_mammary_gland_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 8 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 4 | MS_Kidney_Sum: 2 | MS_Heart_Sum: 6 | MTS_Mean: 0.9724125 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: -0.2 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.69 | ,Characterised
ENSG00000108599,ENSG00000108599 ENSDARG00000059549 ENSMUSG00000047804 ENSRNOG00000002899 ,AKAP10,11216,HGNC:368,A kinase (PRKA) anchor protein 10,Known mitochondrial,0.715922531,MTS_Mean: 0.34800625 | HPA_NonMitochondria: 1 | HPA_Cytoplasm: 1 | compartments_knowledge_difference: 0.2 | Comm_Mito_Ratio: 0.2 | ,Characterised
ENSG00000108788,ENSG00000108788 ENSDARG00000037891 ENSMUSG00000017801 ENSRNOG00000019983 ,MLX,6945,HGNC:11645,"MLX, MAX dimerization protein",Known mitochondrial,0.147169457,MTS_Mean: 0.0186875 | hela_subcell_location_Mitochondrion: 1 | compartments_knowledge_difference: -2 | Comm_Mito_Ratio: 0.25 | ,Literature; PMID: 16782875
ENSG00000108826,ENSG00000108826 ENSDARG00000032985 ENSMUSG00000024414 ENSRNOG00000003724 SPAP19A11.05c YNL005C ,MRPL27,51264,HGNC:14483,mitochondrial ribosomal protein L27,Known mitochondrial,1,PMID12592411_heart_0: 1 | PMID14651853_Sum: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID16615898_Sum: 1 | PMID16615899_liver_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 4 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 4 | MTS_Mean: 0.84636875 | hela_subcell_location_Mitochondrion: 1 | YeastMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 1.2 | Comm_Mito_Ratio: 0.921 | ,Characterised
ENSG00000108829,ENSG00000108829 ENSDARG00000071426 ENSMUSG00000020869 ENSRNOG00000003524 ,LRRC59,55379,HGNC:28817,leucine rich repeat containing 59,Known mitochondrial,0.980970458,PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID16615898_Sum: 4 | PMID16615899_liver_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 3 | MS_Liver_Sum: 3 | MS_Kidney_Sum: 1 | MTS_Mean: 0.02186875 | hela_subcell_location_NotMitochondrion: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: -0.4 | Comm_Mito_Ratio: 0.231 | ,"Literature; PMID:18063578 ""LRRC59 is a protein found in nucleoids that has not yet been shown to be a mitochondrial component."""
ENSG00000109180,ENSG00000109180 ENSDARG00000052334 ENSMUSG00000029152 ENSRNOG00000002205 ,OCIAD1,54940,HGNC:16074,OCIA domain containing 1,Known mitochondrial,0.999999993,PMID15253431_Sum: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 6 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 3 | MTS_Mean: 0.0705125 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | MammalMitoEvidenceGFP: 1 | ,APEX; PMID:25002142
ENSG00000109390,ENSG00000109390 ENSDARG00000103101 ENSMUSG00000037152 ENSRNOG00000038218 ,NDUFC1,4717,HGNC:7705,"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kDa",Known mitochondrial,0.999999959,PMID12592411_heart_0: 1 | MS_Heart_Sum: 1 | MTS_Mean: 0.6491625 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | compartments_knowledge_difference: 1 | Comm_Mito_Ratio: 1 | ,Characterised; Metabolic model; 
ENSG00000109424,ENSG00000109424 ENSDARG00000023151 ENSMUSG00000031710 ENSRNOG00000003580 ,UCP1,7350,HGNC:12517,"uncoupling protein 1 (mitochondrial, proton carrier)",Known mitochondrial,0.99486535,PMID26450961_Sum: 1 | MTS_Mean: 0.02174375 | compartments_knowledge_difference: 3 | Comm_Mito_Ratio: 0.375 | ,Characterised
ENSG00000109519,ENSG00000109519 ENSDARG00000010021 ENSMUSG00000029198 ENSRNOG00000006593 ,GRPEL1,80273,HGNC:19696,"GrpE-like 1, mitochondrial (E. coli)",Known mitochondrial,1,PMID12592411_heart_0: 1 | PMID14651853_Sum: 4 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID11840540_liver_0: 1 | PMID15501831_Sum: 2 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID16615898_Sum: 4 | PMID16615899_liver_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 7 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 6 | MS_Kidney_Sum: 3 | MS_Heart_Sum: 5 | MTS_Mean: 0.97229375 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | YeastMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 2.2 | Comm_Mito_Ratio: 1 | ,Characterised
ENSG00000109576,ENSG00000109576 ENSDARG00000011410 ENSMUSG00000057228 ENSRNOG00000011861 SPAC56E4.03 YHR137W ,AADAT,51166,HGNC:17929,aminoadipate aminotransferase,Known mitochondrial,0.999999992,PMID14651853_Sum: 1 | PMID16415296_unknown_0: 1 | PMID19700791_liver_0: 1 | PMID26450961_Sum: 2 | PMID16615898_Sum: 1 | PMID16615899_liver_0: 1 | PMID17000643_Sum: 1 | MS_Liver_Sum: 4 | MS_Kidney_Sum: 3 | MTS_Mean: 0.905175 | HPA_NonMitochondria: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 2 | Comm_Mito_Ratio: 1 | ,Characterised; Metabolic model; 
ENSG00000109919,ENSG00000109919 ENSDARG00000019732 ENSMUSG00000027282 ENSRNOG00000058658 ,MTCH2,23788,HGNC:17587,mitochondrial carrier 2,Known mitochondrial,0.99999971,PMID12592411_heart_0: 1 | PMID14651853_Sum: 3 | PMID15253431_Sum: 2 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12865426_liver_0: 1 | PMID15501831_Sum: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID16615898_Sum: 5 | PMID16615899_liver_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 6 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 6 | MS_Kidney_Sum: 3 | MS_Heart_Sum: 7 | MTS_Mean: 0.19945 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | compartments_knowledge_difference: -0.2 | ,Characterised
ENSG00000110074,ENSG00000110074 ENSDARG00000099705 ENSMUSG00000039048 ENSRNOG00000060379 ,FOXRED1,55572,HGNC:26927,FAD-dependent oxidoreductase domain containing 1,Known mitochondrial,1,PMID23956156_INS.1Beta_cell_line__0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 4 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 2 | MS_Liver_Sum: 1 | MTS_Mean: 0.60123125 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | MammalMitoEvidenceGFP: 1 | compartments_knowledge_difference: 2 | Cluh_Enrichment: 1 | ,OMIM:613622
ENSG00000110090,ENSG00000110090 ENSDARG00000059770 ENSMUSG00000024900 ENSRNOG00000014254 ,CPT1A,1374,HGNC:2328,carnitine palmitoyltransferase 1A (liver),Known mitochondrial,1,PMID14651853_Sum: 2 | PMID16415296_unknown_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12865426_liver_0: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID16615899_liver_0: 1 | PMID17000643_Sum: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 6 | MS_Kidney_Sum: 2 | MS_Heart_Sum: 1 | MTS_Mean: 0.03274375 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | compartments_knowledge_difference: 3 | Comm_Mito_Ratio: 0.55 | ,OMIM:600528
ENSG00000110435,ENSG00000110435 ENSDARG00000051756 ENSMUSG00000010914 ENSRNOG00000006947 ,PDHX,8050,HGNC:21350,"pyruvate dehydrogenase complex, component X",Known mitochondrial,1,PMID12592411_heart_0: 1 | PMID14651853_Sum: 1 | PMID15253431_Sum: 2 | PMID16415296_unknown_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID15501831_Sum: 1 | PMID16615898_Sum: 4 | PMID21189371_mammary_gland_0: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 4 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 6 | MTS_Mean: 0.64361875 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 2 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.962 | ,Characterised
ENSG00000110536,ENSG00000110536 ENSDARG00000013860 ENSRNOG00000009723 ,PTPMT1,114971,HGNC:26965,"protein tyrosine phosphatase, mitochondrial 1",Known mitochondrial,0.999998455,PMID17519225_T_leukemia_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID26217684_brain_0: 1 | MS_Brain_Sum: 1 | MS_Skeletal_Muscle_Sum: 1 | MTS_Mean: 0.1125625 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | compartments_knowledge_difference: 0.4 | Comm_Mito_Ratio: 0.4 | ,Metabolic model
ENSG00000110717,ENSG00000110717 ENSDARG00000051986 ENSMUSG00000059734 ENSRNOG00000017446 ,NDUFS8,4728,HGNC:7715,"NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)",Known mitochondrial,0.999999999,PMID12592411_heart_0: 1 | PMID14651853_Sum: 4 | PMID15253431_Sum: 2 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12210211_Sum: 1 | PMID12601808_placenta_0: 1 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID15501831_Sum: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID16120276_neuroblastoma_cell_line_SH.SY5Y_0: 1 | PMID16615899_liver_0: 1 | PMID21189371_mammary_gland_0: 1 | PMID21672642_liver_0: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 6 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 5 | MS_Kidney_Sum: 2 | MS_Heart_Sum: 7 | MTS_Mean: 0.90699375 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 2 | Comm_Mito_Ratio: 1 | ,Characterised; Metabolic model; 
ENSG00000110871,ENSG00000110871 ENSDARG00000035618 ENSMUSG00000041733 ENSRNOG00000001171 SPCC4G3.04c YML110C ,COQ5,84274,HGNC:28722,"coenzyme Q5, methyltransferase",Known mitochondrial,0.999999999,PMID12592411_heart_0: 1 | PMID15253431_Sum: 1 | PMID16415296_unknown_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 2 | PMID26450961_Sum: 14 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID16582907_liver_0: 1 | PMID16615898_Sum: 2 | PMID21189371_mammary_gland_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 4 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 3 | MS_Kidney_Sum: 2 | MS_Heart_Sum: 5 | MTS_Mean: 0.8329125 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | YeastMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 1.8 | Comm_Mito_Ratio: 1 | ,Characterised
ENSG00000110888,ENSG00000110888 ENSDARG00000020749 ENSMUSG00000030309 ENSRNOG00000047319 ,CAPRIN2,65981,HGNC:21259,caprin family member 2,Known mitochondrial,0.771699974,MTS_Mean: 0.0970625 | HPA_NonMitochondria: 1 | HPA_Cytoplasm: 1 | compartments_knowledge_difference: 1 | Comm_Mito_Ratio: 0.143 | ,"Literature; PMID: 14593112, short isoform only"
ENSG00000110911,ENSG00000110911 ENSDARG00000024295 ENSMUSG00000023030 ENSRNOG00000019550 SPAC27F1.08 YHR050W ,SLC11A2,4891,HGNC:10908,"solute carrier family 11 (proton-coupled divalent metal ion transporter), member 2",Known mitochondrial,0.215953144,MTS_Mean: 0.01055 | hela_subcell_location_NotMitochondrion: 1 | HPA_Mitochondria: 1 | compartments_knowledge_difference: -1.2 | Comm_Mito_Ratio: 0.143 | ,Literature; PMID:24448823 (DMT1) OMM
ENSG00000110955,ENSG00000110955 ENSDARG00000070083 ENSMUSG00000025393 ENSRNOG00000002840 SPAC222.12c YJR121W ,ATP5B,506,HGNC:830,"ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide",Known mitochondrial,0.99495768,PMID12592411_heart_0: 1 | PMID14651853_Sum: 4 | PMID15253431_Sum: 2 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID11840540_liver_0: 1 | PMID12210211_Sum: 1 | PMID12601808_placenta_0: 1 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID12865426_liver_0: 1 | PMID15501831_Sum: 2 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID16120276_neuroblastoma_cell_line_SH.SY5Y_0: 1 | PMID16520066_articular_chondrocytes_0: 1 | PMID16615898_Sum: 6 | PMID16615899_liver_0: 1 | PMID16674101_Sum: 5 | PMID17000643_Sum: 2 | PMID18232058_liver_0: 1 | PMID19834913_skeletal_muscle_0: 1 | PMID21189371_mammary_gland_0: 1 | PMID21360670_skeletal_muscle_0: 1 | PMID21672642_liver_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 3 | MS_Brain_Sum: 9 | MS_Skeletal_Muscle_Sum: 5 | MS_Liver_Sum: 12 | MS_Kidney_Sum: 4 | MS_Heart_Sum: 9 | MTS_Mean: 0.6573125 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | YeastMitoEvidenceGFP: 1 | MammalMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 1.2 | Comm_Mito_Ratio: 0.909 | ,Characterised; Metabolic model; 
ENSG00000111012,ENSG00000111012 ENSDARG00000045015 ENSMUSG00000006724 ENSRNOG00000046214 ,CYP27B1,1594,HGNC:2606,"cytochrome P450, family 27, subfamily B, polypeptide 1",Known mitochondrial,0.999999316,MTS_Mean: 0.80649375 | HPA_NonMitochondria: 1 | HPA_Cytoplasm: 1 | compartments_knowledge_difference: 3 | Comm_Mito_Ratio: 0.25 | ,Characterised
ENSG00000111058,ENSG00000111058 ENSDARG00000032218 ENSMUSG00000035948 ENSRNOG00000004448 ,ACSS3,79611,HGNC:24723,acyl-CoA synthetase short-chain family member 3,Known mitochondrial,0.999999918,PMID19700791_liver_0: 1 | PMID26450961_Sum: 5 | MS_Placenta_Sum: 1 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 1 | MTS_Mean: 0.36115 | HPA_Mitochondria: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 1.6 | Comm_Mito_Ratio: 0.842 | ,Characterised; Metabolic model; 
ENSG00000111271,ENSG00000111271 ENSMUSG00000029456 ENSRNOG00000037815 ,ACAD10,80724,HGNC:21597,"acyl-CoA dehydrogenase family, member 10",Known mitochondrial,0.999999999,PMID14651853_Sum: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 12 | PMID16615898_Sum: 2 | PMID16615899_liver_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 3 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 3 | MS_Kidney_Sum: 3 | MS_Heart_Sum: 2 | MTS_Mean: 0.66558125 | compartments_knowledge_difference: 2 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.1 | ,OMIM:611181
ENSG00000111275,ENSG00000111275 ENSDARG00000089924 ENSMUSG00000029455 ENSRNOG00000001344 ,ALDH2,217,HGNC:404,aldehyde dehydrogenase 2 family (mitochondrial),Known mitochondrial,0.999999994,PMID12592411_heart_0: 1 | PMID14651853_Sum: 4 | PMID15253431_Sum: 1 | PMID16415296_unknown_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID11840540_liver_0: 1 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID15507458_liver_0: 1 | PMID16120276_neuroblastoma_cell_line_SH.SY5Y_0: 1 | PMID16615898_Sum: 6 | PMID16615899_liver_0: 1 | PMID16674101_Sum: 2 | PMID17000643_Sum: 1 | PMID21189371_mammary_gland_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 8 | MS_Skeletal_Muscle_Sum: 3 | MS_Liver_Sum: 9 | MS_Kidney_Sum: 3 | MS_Heart_Sum: 6 | MTS_Mean: 0.9606 | YeastMitoEvidenceGFP: 1 | MammalMitoEvidenceGFP: 1 | compartments_knowledge_difference: 1.2 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.545 | ,Characterised
ENSG00000111639,ENSG00000111639 ENSDARG00000041340 ENSMUSG00000030335 ENSRNOG00000019165 ,MRPL51,51258,HGNC:14044,mitochondrial ribosomal protein L51,Known mitochondrial,0.999999995,PMID17705834_embryonic_stem_cell_line_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 13 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 4 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 1 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 1 | MTS_Mean: 0.9470875 | HPA_Mitochondria: 1 | compartments_knowledge_difference: 1 | Comm_Mito_Ratio: 0.902 | ,Characterised
ENSG00000111696,ENSG00000111696 ENSDARG00000062949 ENSMUSG00000054027 ENSRNOG00000026793 ,NT5DC3,51559,HGNC:30826,5-nucleotidase domain containing 3,Known mitochondrial,0.985328061,PMID23956156_INS.1Beta_cell_line__0: 1 | PMID24708184_Sum: 3 | PMID26450961_Sum: 8 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 4 | MS_Skeletal_Muscle_Sum: 1 | MTS_Mean: 0.682075 | ,APEX; PMID:23371551
ENSG00000111737,ENSG00000111737 ENSDARG00000102078 ENSMUSG00000029518 ENSRNOG00000022014 ,RAB35,11021,HGNC:9774,"RAB35, member RAS oncogene family",Known mitochondrial,0.964369122,PMID12592411_heart_0: 1 | PMID18348319_heart_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 1 | PMID26450961_Sum: 14 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 3 | MTS_Mean: 0.03810625 | hela_subcell_location_NotMitochondrion: 1 | compartments_knowledge_difference: -1.0 | Comm_Mito_Ratio: 0.167 | ,OMIM:604199
ENSG00000111775,ENSG00000111775 ENSMUSG00000041697 ENSRNOG00000001170 ,COX6A1,1337,HGNC:2277,cytochrome c oxidase subunit VIa polypeptide 1,Known mitochondrial,1,PMID14651853_Sum: 3 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID24708184_Sum: 2 | PMID26450961_Sum: 14 | PMID16615898_Sum: 5 | PMID16674101_Sum: 2 | PMID17000643_Sum: 1 | PMID21189371_mammary_gland_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 6 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 5 | MS_Kidney_Sum: 4 | MS_Heart_Sum: 2 | MTS_Mean: 0.7163625 | compartments_knowledge_difference: 3 | Comm_Mito_Ratio: 0.941 | ,Characterised; Metabolic model; 
ENSG00000112031,ENSG00000112031 ENSDARG00000060005 ENSMUSG00000019774 ENSRNOG00000018773 ,MTRF1L,54516,HGNC:21051,mitochondrial translational release factor 1-like,Known mitochondrial,0.999998639,PMID26450961_Sum: 1 | MTS_Mean: 0.73508125 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 1.8 | Comm_Mito_Ratio: 1 | ,Characterised
ENSG00000112096,ENSG00000112096 ENSDARG00000042644 ENSMUSG00000006818 ENSRNOG00000019048 SPAC1486.01 YHR008C ,SOD2,6648,HGNC:11180,"superoxide dismutase 2, mitochondrial",Known mitochondrial,0.999981127,PMID12592411_heart_0: 1 | PMID14651853_Sum: 4 | PMID15253431_Sum: 2 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID11840540_liver_0: 1 | PMID12601808_placenta_0: 1 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID12865426_liver_0: 1 | PMID15501831_Sum: 2 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID16120276_neuroblastoma_cell_line_SH.SY5Y_0: 1 | PMID16520066_articular_chondrocytes_0: 1 | PMID16615898_Sum: 6 | PMID16615899_liver_0: 1 | PMID17000643_Sum: 2 | PMID18232058_liver_0: 1 | PMID21189371_mammary_gland_0: 1 | PMID21360670_skeletal_muscle_0: 1 | PMID26217684_brain_0: 1 | PMID9638947_placenta_0: 1 | MS_Placenta_Sum: 4 | MS_Brain_Sum: 8 | MS_Skeletal_Muscle_Sum: 3 | MS_Liver_Sum: 10 | MS_Kidney_Sum: 3 | MS_Heart_Sum: 7 | MTS_Mean: 0.93658125 | hela_subcell_location_Mitochondrion: 1 | YeastMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 0.2 | Comm_Mito_Ratio: 0.906 | ,Characterised; Metabolic model; 
