"Gene.ID"	"Symbol"	"Homologs"	"Description"	"Category"	"Score"	"Evidence"	"Notes"	"adipose.tissue"	"adrenal.gland"	"appendix"	"bone.marrow"	"breast"	"cerebral.cortex"	"cervix..uterine"	"colon"	"duodenum"	"endometrium"	"epididymis"	"esophagus"	"fallopian.tube"	"gallbladder"	"heart.muscle"	"kidney"	"liver"	"lung"	"lymph.node"	"ovary"	"pancreas"	"parathyroid.gland"	"placenta"	"prostate"	"rectum"	"salivary.gland"	"seminal.vesicle"	"skeletal.muscle"	"skin"	"small.intestine"	"smooth.muscle"	"spleen"	"stomach"	"testis"	"thyroid.gland"	"tonsil"	"urinary.bladder"	"OMIM_ID"	"Dis_description"	"DomRec"	"WashU"	"DisCol"	"DomCol"	"GO_enzyme"	"pLI"
"ENSG00000068615"	"REEP1"	"ENSG00000068615 ENSDARG00000014854 ENSMUSG00000052852 ENSRNOG00000008481 "	"receptor accessory protein 1"	"Known mitochondrial"	0.339567203	"MTS_Mean: 0.26016875 | compartments_knowledge_difference: -0.4 | "	"OMIM:609139"	4.2	8.9	3.5	0	7.3	54.2	3.7	6.5	4.3	19	6.1	8.6	16.6	7.8	8.2	2.3	0.7	5.4	0.9	1.2	2.4	18.3	3.6	12.5	7.3	0.3	19.9	7.8	1.9	3.9	34.1	2.6	4.8	90.8	1.4	0.6	8.6	"614751,610250"	"Neuronopathy, distal hereditary motor, type VB; Spastic paraplegia 31, autosomal dominant"	"D"	NA	"black"	"blue"	NA	0.938706616254476
"ENSG00000068784"	"SRBD1"	"ENSG00000068784 ENSDARG00000092855 ENSMUSG00000024135 ENSRNOG00000014720 "	"S1 RNA binding domain 1"	"Predicted mitochondrial"	0.844537277	"PMID26450961_Sum: 5 | MS_Placenta_Sum: 1 | MS_Heart_Sum: 1 | MTS_Mean: 0.1388625 | HPA_Mitochondria: 1 | HPA_Cytoplasm: 1 | Rickettsia_Homolog: 1 | Comm_Mito_Ratio: 0.033 | "	""	7.5	7.3	9.8	4.1	9.2	6	15.1	7.1	5.9	11.9	13.8	5.3	8.6	9	4.1	8.1	4.4	9.6	8.6	6.6	1.5	31.3	9.7	11.7	8.9	2.1	7.9	0.8	4.5	6.1	9.8	11.9	7.5	16.5	17	7.1	7	NA	NA	NA	NA	"white"	"white"	NA	1.67463053962146e-14
"ENSG00000069509"	"FUNDC1"	"ENSG00000069509 ENSDARG00000040822 ENSMUSG00000025040 ENSRNOG00000003470 "	"FUN14 domain containing 1"	"Known mitochondrial"	0.999997261	"PMID23956156_INS.1Beta_cell_line__0: 1 | PMID19700791_liver_0: 1 | PMID26450961_Sum: 10 | MS_Brain_Sum: 3 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 1 | MS_Kidney_Sum: 1 | MTS_Mean: 0.03156875 | compartments_knowledge_difference: 2.6 | "	"OMIM:300871"	10.8	20.4	11.6	5.9	20.8	30.7	18	10.5	11	18.8	20.8	12.1	20.5	20.7	20.2	21.9	5.5	13.4	17.6	19.7	1.8	27.9	13.2	21.6	12.3	16.6	12.9	5.5	16.1	7.9	14.9	15.2	22.5	21.3	22.8	13.2	17.4	NA	NA	NA	NA	"white"	"white"	NA	0.440692340205304
"ENSG00000069535"	"MAOB"	"ENSG00000069535 ENSMUSG00000040147 ENSRNOG00000029778 "	"monoamine oxidase B"	"Known mitochondrial"	0.999997195	"PMID12592411_heart_0: 1 | PMID15253431_Sum: 2 | PMID16415296_unknown_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID26450961_Sum: 13 | PMID12210211_Sum: 1 | PMID12865426_liver_0: 1 | PMID15507458_liver_0: 1 | PMID16615898_Sum: 4 | PMID16615899_liver_0: 1 | PMID16674101_Sum: 1 | PMID17000643_Sum: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 4 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 8 | MS_Heart_Sum: 6 | MTS_Mean: 0.015475 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: 0.8 | Comm_Mito_Ratio: 0.621 | "	"Metabolic model"	85.6	67	9	0	57.2	95.6	47.9	16	76.3	150.9	66	35.4	159.2	27.5	68	127.7	162.6	47.1	7.1	192	2.3	67.6	16	136	18.8	32.8	213	40.3	4.4	88.5	150.7	3.4	22.7	17.3	5.6	6.7	26.5	NA	NA	NA	NA	"white"	"white"	"catalytic activity"	0.970339617070938
"ENSG00000069998"	"CECR5"	"ENSG00000069998 ENSDARG00000105077 ENSMUSG00000058979 ENSRNOG00000011338 YKR070W "	"cat eye syndrome chromosome region, candidate 5"	"Known mitochondrial"	0.999999998	"PMID12592411_heart_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 3 | PMID26450961_Sum: 9 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID16120276_neuroblastoma_cell_line_SH.SY5Y_0: 1 | PMID16615898_Sum: 3 | PMID21189371_mammary_gland_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 2 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 2 | MTS_Mean: 0.6349625 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | YeastMitoEvidenceGFP: 1 | compartments_knowledge_difference: 1 | Cluh_Enrichment: 1 | "	"APEX; PMID:23371551"	14.9	25.1	18.3	10.3	16.2	19.3	13.5	18.6	27.4	14.7	8.4	14.9	20.2	15.3	22.1	13.2	12.5	14	16.5	11.3	3.1	14.8	11.5	18.5	15.8	6.6	14.2	16.2	18.4	19.1	16.5	17.3	12.2	19.4	12.6	11.5	14.3	NA	NA	NA	NA	"white"	"white"	NA	2.10878542968906e-08
"ENSG00000070081"	"NUCB2"	"ENSG00000070081 ENSDARG00000036299 ENSMUSG00000030659 ENSRNOG00000020456 "	"nucleobindin 2"	"Known mitochondrial"	0.114745629	"PMID23956156_INS.1Beta_cell_line__0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID16615898_Sum: 2 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 3 | MS_Liver_Sum: 1 | MTS_Mean: 0.0400375 | hela_subcell_location_NotMitochondrion: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: -3 | "	"APEX; PMID:25002142"	65.6	100.7	87.4	397.1	178.3	45.9	210.7	68.6	59.2	103.2	552	163.2	172.2	97.9	64.9	46.7	52.3	75.1	71.3	69.4	159.6	719.8	130.1	119.5	77.3	317.4	266.9	13.7	25.5	46	114.3	59.5	88	223.2	259	75.4	83.5	NA	NA	NA	NA	"white"	"white"	NA	8.58987882667095e-08
"ENSG00000070214"	"SLC44A1"	"ENSG00000070214 ENSDARG00000090982 ENSMUSG00000028412 ENSRNOG00000055089 "	"solute carrier family 44 (choline transporter), member 1"	"Known mitochondrial"	0.686747556	"PMID24708184_Sum: 2 | MS_Brain_Sum: 2 | MTS_Mean: 0.143425 | hela_subcell_location_NotMitochondrion: 1 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: -1 | Comm_Mito_Ratio: 0.444 | "	"Literature; PMID: 19357133"	18.9	17.6	17.8	7.3	32.7	107.8	25.8	50.7	23.4	26.5	38.8	20.4	24.5	32	8.2	23.2	19.6	27.5	11.3	17.4	3.1	56.9	33	18.9	54.2	3.1	35.2	3.2	25.6	30.4	25.3	13.4	34	6.8	72.7	14.6	28.4	NA	NA	NA	NA	"white"	"white"	NA	0.999253571367297
"ENSG00000072062"	"PRKACA"	"ENSG00000072062 ENSDARG00000016809 ENSMUSG00000005469 ENSRNOG00000005257 "	"protein kinase, cAMP-dependent, catalytic, alpha"	"Known mitochondrial"	0.132387547	"PMID17705834_embryonic_stem_cell_line_0: 1 | PMID15501831_Sum: 1 | PMID16615898_Sum: 2 | MS_Brain_Sum: 1 | MS_Heart_Sum: 1 | MTS_Mean: 0.05665625 | hela_subcell_location_NotMitochondrion: 1 | compartments_knowledge_difference: -0.8 | Comm_Mito_Ratio: 0.308 | "	"Literature; PMID: 18367160"	96.2	177.5	84	21.1	41.5	119	92	47.4	44.8	91.5	55.8	73	93.3	81.9	203.1	47	51.5	79.8	47.2	176.1	10.2	99.8	70.8	79.1	56.2	22.5	102.9	117.7	51.3	48.5	133	134.8	30.6	151.5	80.8	46.7	69.2	NA	NA	NA	NA	"white"	"white"	"catalytic activity"	0.959056420321561
"ENSG00000072110"	"ACTN1"	"ENSG00000072110 ENSDARG00000007219 ENSMUSG00000015143 ENSRNOG00000056756 "	"actinin, alpha 1"	"Predicted mitochondrial"	0.934269887	"PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 2 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID16520066_articular_chondrocytes_0: 1 | PMID16615898_Sum: 3 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 2 | MS_Liver_Sum: 1 | MS_Heart_Sum: 1 | MTS_Mean: 0.0194375 | hela_subcell_location_NotMitochondrion: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: -2 | Comm_Mito_Ratio: 0.263 | "	""	139.3	53.7	211.2	98.6	86.7	68.6	103.3	119.1	52	325.8	72.3	173.2	167	227.9	77.5	26.2	32.6	97.9	55.9	41.8	9.5	14.4	137.5	271	124	46.8	405.6	3.5	23.5	61.3	744.4	77.8	42.5	41.2	38	48.2	211.6	"615193"	"Bleeding disorder, platelet-type, 15"	"D"	NA	"black"	"blue"	NA	0.999930573576069
"ENSG00000072133"	"RPS6KA6"	"ENSG00000072133 ENSDARG00000037574 ENSMUSG00000025665 ENSRNOG00000002592 "	"ribosomal protein S6 kinase, 90kDa, polypeptide 6"	"Predicted mitochondrial"	0.912330417	"MTS_Mean: 0.39545625 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: -0.2 | Comm_Mito_Ratio: 0.176 | "	""	0.4	3.5	1.1	0.1	2.7	5.7	4.1	4.3	1.8	4.2	4.3	1.1	5.9	3	0.6	8.8	0.3	1.4	0.4	4.5	0.2	18.6	0.7	6.2	3.8	1	6	0.5	2.7	2.3	2.5	0.7	2.3	4.7	21.8	0.5	1.5	NA	NA	NA	NA	"white"	"white"	"catalytic activity"	0.744166833872825
"ENSG00000072210"	"ALDH3A2"	"ENSG00000072210 ENSMUSG00000010025 ENSRNOG00000002342 "	"aldehyde dehydrogenase 3 family, member A2"	"Known mitochondrial"	0.98099916	"PMID16415296_unknown_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID12865426_liver_0: 1 | PMID15507458_liver_0: 1 | PMID16615898_Sum: 3 | PMID17000643_Sum: 1 | PMID26217684_brain_0: 1 | MS_Brain_Sum: 3 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 5 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 1 | MTS_Mean: 0.55835 | hela_subcell_location_NotMitochondrion: 1 | compartments_knowledge_difference: -1.6 | Comm_Mito_Ratio: 0.621 | "	"Metabolic model"	41.1	179.9	13.9	4.5	29.9	29.3	47.8	30.7	41.3	30.4	36.5	86.6	41.3	74.3	20.2	140.5	119.5	58.7	9.7	29.3	7	37.8	9.8	85.6	30	12.2	31.9	11.6	177.2	41.6	28.7	16.4	44.4	32.9	79.3	20.7	19.4	"270200"	"Sjogren-Larsson syndrome"	"R"	NA	"black"	"green"	"catalytic activity"	0.011288383677575
"ENSG00000072274"	"TFRC"	"ENSG00000072274 ENSDARG00000077372 ENSMUSG00000022797 ENSRNOG00000001766 "	"transferrin receptor"	"Predicted mitochondrial"	0.826134096	"PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID24708184_Sum: 3 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID16615898_Sum: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 3 | MS_Heart_Sum: 1 | MTS_Mean: 0.1723 | hela_subcell_location_NotMitochondrion: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: -1.2 | Comm_Mito_Ratio: 0.171 | "	""	53.5	37.4	88.2	157.6	24.9	30.9	48	74.8	36.3	39.3	13.3	28.4	29	39.4	12.5	27.5	14.2	112.8	26.7	27.6	3	78.5	141.9	17.6	61.3	4.8	18.7	26.9	24.5	36.2	45.1	19.2	20.5	45.8	33.3	26.6	35.7	"616740"	"Immunodeficiency 46"	"R"	NA	"black"	"green"	NA	0.780323176637487
"ENSG00000072506"	"HSD17B10"	"ENSG00000072506 ENSDARG00000017781 ENSMUSG00000025260 ENSRNOG00000003049 "	"hydroxysteroid (17-beta) dehydrogenase 10"	"Known mitochondrial"	0.999999402	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 4 | PMID15253431_Sum: 2 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12601808_placenta_0: 1 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID12865426_liver_0: 1 | PMID15501831_Sum: 1 | PMID15507458_liver_0: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID16120276_neuroblastoma_cell_line_SH.SY5Y_0: 1 | PMID16615898_Sum: 4 | PMID16615899_liver_0: 1 | PMID17000643_Sum: 3 | PMID21189371_mammary_gland_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | PMID9638947_placenta_0: 1 | MS_Placenta_Sum: 3 | MS_Brain_Sum: 7 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 10 | MS_Kidney_Sum: 3 | MS_Heart_Sum: 7 | MTS_Mean: 0.59381875 | hela_subcell_location_Mitochondrion: 1 | HPA_NonMitochondria: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 0.8 | Comm_Mito_Ratio: 0.944 | "	"OMIM:300256"	80.8	107.9	72.2	39.9	62.4	47.7	68.4	60.8	59.7	61.7	67	92.6	78.9	52.2	50.7	92.9	126.2	56.8	67.8	65.4	11.7	62.5	52.7	60.4	70.1	21.2	63.8	22.4	80.5	49.7	88	50	37	33.3	104.7	71.6	51.5	"300438,300220"	"17-beta-hydroxysteroid dehydrogenase X deficiency; Mental retardation, X-linked syndromic 10"	"XB"	"MitoDis"	"black"	"white"	"catalytic activity"	0.886870267829669
"ENSG00000072756"	"TRNT1"	"ENSG00000072756 ENSDARG00000075297 ENSMUSG00000013736 ENSRNOG00000006432 SPCC645.10 YER168C "	"tRNA nucleotidyl transferase, CCA-adding, 1"	"Known mitochondrial"	1	"PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 4 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 2 | MS_Heart_Sum: 1 | MTS_Mean: 0.83369375 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 1.8 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.273 | "	"Characterised"	12.2	13.3	17.6	4.2	16.3	20.3	13.5	9.5	7.7	17.3	13.3	11.5	12.7	16.2	5.8	15.2	5.7	12.8	16.4	10.3	1.6	16.2	19.2	26.1	13.4	3.6	12.5	2	12.3	8.4	15.9	17.3	10.1	15.5	23.3	14.1	14.7	"616084"	"Sideroblastic anemia with B-cell immunodeficiency, periodic fevers, and developmental delay"	"R"	NA	"black"	"green"	"catalytic activity"	2.45863122935093e-06
"ENSG00000072778"	"ACADVL"	"ENSG00000072778 ENSDARG00000016687 ENSMUSG00000018574 ENSRNOG00000018114 "	"acyl-CoA dehydrogenase, very long chain"	"Known mitochondrial"	0.999999427	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 3 | PMID15253431_Sum: 2 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID11840540_liver_0: 1 | PMID12210211_Sum: 1 | PMID12601808_placenta_0: 1 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID16615898_Sum: 4 | PMID16615899_liver_0: 1 | PMID16674101_Sum: 1 | PMID17000643_Sum: 2 | PMID19834913_skeletal_muscle_0: 1 | PMID21189371_mammary_gland_0: 1 | PMID21672642_liver_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 6 | MS_Skeletal_Muscle_Sum: 3 | MS_Liver_Sum: 9 | MS_Kidney_Sum: 3 | MS_Heart_Sum: 9 | MTS_Mean: 0.9472625 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: 1.4 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.944 | "	"Characterised"	205.8	455.8	99.6	59.8	122.2	67.9	138.5	144.7	291.5	96.6	51.1	179.7	115.2	137.3	221.2	172.6	189.2	120.8	56.2	63	37.9	253.7	150.7	151.8	141.6	67.1	153.1	280.2	116.9	281.9	152.5	86.2	148.6	82.8	164.1	75.6	104.5	"201475"	"Acyl-CoA dehydrogenase, very long-chain, deficiency"	"R"	"MitoDis"	"black"	"green"	"catalytic activity"	1.31058372898069e-07
"ENSG00000073169"	"SELO"	"ENSG00000073169 ENSDARG00000041951 ENSMUSG00000035757 ENSRNOG00000060120 SPAC20G4.05c YPL222W "	"selenoprotein O"	"Predicted mitochondrial"	0.992761528	"PMID23956156_INS.1Beta_cell_line__0: 1 | PMID26450961_Sum: 9 | MS_Placenta_Sum: 1 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 1 | MTS_Mean: 0.61795 | YeastMitoEvidenceGFP: 1 | Comm_Mito_Ratio: 0.471 | "	""	7.1	6	6	8.7	3.2	4.6	4.3	3.8	7.9	6.1	3.4	4.5	6.3	6.3	2	5.3	7.4	5.3	7.1	5.9	2.7	4.1	4.3	5.8	2.2	3.2	5.9	2.9	9.3	7	3.5	8.7	5.7	6.2	5.3	3.8	5	NA	NA	NA	NA	"white"	"white"	NA	5.81141018793982e-15
"ENSG00000073578"	"SDHA"	"ENSG00000073578 ENSDARG00000016721 ENSMUSG00000021577 ENSRNOG00000013331 SPAC1556.02c YKL148C "	"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)"	"Known mitochondrial"	0.999994079	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 4 | PMID15253431_Sum: 2 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12210211_Sum: 1 | PMID12601808_placenta_0: 1 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID12865426_liver_0: 1 | PMID15501831_Sum: 2 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID16120276_neuroblastoma_cell_line_SH.SY5Y_0: 1 | PMID16615898_Sum: 6 | PMID16615899_liver_0: 1 | PMID16674101_Sum: 5 | PMID17000643_Sum: 2 | PMID19834913_skeletal_muscle_0: 1 | PMID21189371_mammary_gland_0: 1 | PMID21672642_liver_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | PMID9638947_placenta_0: 1 | MS_Placenta_Sum: 4 | MS_Brain_Sum: 9 | MS_Skeletal_Muscle_Sum: 4 | MS_Liver_Sum: 10 | MS_Kidney_Sum: 4 | MS_Heart_Sum: 9 | MTS_Mean: 0.86844375 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | YeastMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 2.8 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 1 | "	"Characterised; Metabolic model; "	74.5	120.3	45.8	27.7	31.8	87	50.7	110.2	170.2	48.2	33.8	60	69.8	60.9	249.5	138.4	105.8	48.1	54.5	60.4	10.5	125.9	46.8	56.7	97.2	28.4	55.2	165.2	35.5	141.6	58.1	59.1	66.2	74.8	51.1	36.9	55.9	"256000,613642,252011"	"Leigh syndrome; Cardiomyopathy, dilated, 1GG; Mitochondrial complex II deficiency"	"R"	"MitoDis"	"black"	"green"	"catalytic activity"	9.3872916167157e-06
"ENSG00000074071"	"MRPS34"	"ENSG00000074071 ENSDARG00000057910 ENSMUSG00000038880 ENSRNOG00000015479 "	"mitochondrial ribosomal protein S34"	"Known mitochondrial"	1	"PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID15501831_Sum: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 2 | MTS_Mean: 0.787725 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | compartments_knowledge_difference: 0.4 | Comm_Mito_Ratio: 0.444 | "	"Characterised"	18.4	14.7	11.1	8.8	5.3	15.2	6.9	17.7	17.5	7.5	2.3	5	8.6	5.7	6.4	13.4	7.3	10.1	10.2	6.3	4.5	10	8.4	15.9	3.2	12.9	13.6	22.2	15.1	15.8	4.2	22.6	21.5	7.2	5.8	4	4.9	NA	NA	NA	NA	"white"	"white"	NA	5.52343942722583e-05
"ENSG00000074582"	"BCS1L"	"ENSG00000074582 ENSDARG00000012295 ENSMUSG00000026172 ENSRNOG00000016754 SPAC644.07 YDR375C "	"BC1 (ubiquinol-cytochrome c reductase) synthesis-like"	"Known mitochondrial"	0.999999999	"PMID12592411_heart_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 13 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 2 | MS_Heart_Sum: 3 | MTS_Mean: 0.02715 | hela_subcell_location_Mitochondrion: 1 | HPA_NonMitochondria: 1 | YeastMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 2 | Comm_Mito_Ratio: 1 | "	"Characterised"	15.8	19.3	15.6	7.9	19.4	21.6	20	16.6	16	23.6	17.1	18.6	30.9	17	18.8	14.5	9.1	16.7	17.4	25.2	3.8	28.5	16.7	24.2	18.4	7.9	23.7	9.2	22	13.3	24.2	16.5	12.7	12	22.2	13.4	18.2	"262000,603358,256000,124000"	"Bjornstad syndrome; GRACILE syndrome; Leigh syndrome; Mitochondrial complex III deficiency, nuclear type I"	"R"	"MitoDis"	"black"	"green"	NA	2.2774208943895e-08
"ENSG00000074695"	"LMAN1"	"ENSG00000074695 ENSDARG00000069980 ENSMUSG00000041891 ENSRNOG00000024470 "	"lectin, mannose-binding, 1"	"Predicted mitochondrial"	0.857184801	"PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID16615898_Sum: 4 | PMID17000643_Sum: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 3 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 3 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 1 | MTS_Mean: 0.45033125 | hela_subcell_location_NotMitochondrion: 1 | HPA_Cytoplasm: 1 | compartments_knowledge_difference: -3 | Comm_Mito_Ratio: 0.385 | "	""	35.6	49.6	47.5	11.7	46.6	24.1	87	29.9	41	66.8	55	29.9	68	43.9	25.6	59.9	80.8	43.6	28.3	46.2	9	117.7	67.3	80.6	38.1	24.7	53.2	10.2	21	48.1	47	33.1	46.6	34.6	124.8	28.6	40.9	"227300"	"Combined factor V and VIII deficiency"	"R"	NA	"black"	"green"	NA	0.486069838864669
"ENSG00000074755"	"ZZEF1"	"ENSG00000074755 ENSDARG00000094380 ENSMUSG00000055670 ENSRNOG00000024535 "	"zinc finger, ZZ-type with EF-hand domain 1"	"Predicted mitochondrial"	0.801202031	"PMID26450961_Sum: 3 | MS_Placenta_Sum: 1 | MS_Kidney_Sum: 1 | MTS_Mean: 0.01275 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | "	""	10	9.4	13.9	13.4	9.4	10.6	9.3	16.3	16	11.3	6.8	11.9	10.9	10.2	5.8	7.1	2.2	13.7	11.9	11.1	2.4	23.2	8.6	11.5	16.2	3.9	10.2	5.3	14.4	26.3	12.7	16	9.5	13	14.7	9.3	8.8	NA	NA	NA	NA	"white"	"white"	NA	0.999923090647574
