Protein	Gene.ID	Gene	Status	CAFA
356	A3KMH1	ENSG00000102763	VWA8	Known mitochondrial	NA
357	A3KMH1	ENSG00000102763	VWA8	Known mitochondrial	NA
358	A3KMH1	ENSG00000102763	VWA8	Known mitochondrial	NA
359	A4D1E9	ENSG00000105793	GTPBP10	Known mitochondrial	NA
360	A4D1E9	ENSG00000105793	GTPBP10	Known mitochondrial	NA
361	A4D1E9	ENSG00000105793	GTPBP10	Known mitochondrial	NA
362	A6NC05	ENSG00000164241	C5orf63	Predicted mitochondrial	NA
363	A6NC05	ENSG00000164241	C5orf63	Predicted mitochondrial	NA
364	A6ND22	ENSG00000182180	MRPS16	Known mitochondrial	NA
365	A6ND91	ENSG00000204653	ASPDH	Predicted mitochondrial	NA
366	A6ND91	ENSG00000204653	ASPDH	Predicted mitochondrial	NA
367	A6NEP8	ENSG00000101986	ABCD1	Predicted mitochondrial	NA
368	A6NF51	ENSG00000162813	BPNT1	Predicted mitochondrial	NA
370	A6NG45	ENSG00000123131	PRDX4	Known mitochondrial	NA
371	A6NHH0	ENSG00000148334	PTGES2	Known mitochondrial	NA
372	A6NHR2	ENSG00000116221	MRPL37	Known mitochondrial	NA
373	A6NIT2	ENSG00000067177	PHKA1	Predicted mitochondrial	NA
374	A6NIV2	ENSG00000196683	TOMM7	Known mitochondrial	NA
375	A6NIW5	ENSG00000167815	PRDX2	Predicted mitochondrial	NA
376	A6NJ78	ENSG00000169519	METTL15	Known mitochondrial	NA
377	A6NJ78	ENSG00000169519	METTL15	Known mitochondrial	NA
378	A6NJ78	ENSG00000169519	METTL15	Known mitochondrial	NA
379	A6NJ78	ENSG00000169519	METTL15	Known mitochondrial	NA
380	A6NJD9	ENSG00000214026	MRPL23	Known mitochondrial	NA
381	A6NJX6	ENSG00000172586	CHCHD1	Known mitochondrial	NA
382	A6NK06	ENSG00000102794	ACOD1	Predicted mitochondrial	NA
383	A6NK44	ENSG00000171433	GLOD5	Predicted mitochondrial	NA
385	A6NLB9	ENSG00000172590	MRPL52	Known mitochondrial	NA
386	A6NMN0	ENSG00000067177	PHKA1	Predicted mitochondrial	NA
387	A6NNL5	ENSG00000189227	C15orf61	Known mitochondrial	NA
388	A6NP46	ENSG00000198814	GK	Known mitochondrial	NA
389	A6PVN3	ENSG00000095321	CRAT	Known mitochondrial	NA
390	A6XGL0	ENSG00000250067	YJEFN3	Predicted mitochondrial	NA
391	A6XGL0	ENSG00000250067	YJEFN3	Predicted mitochondrial	NA
392	A8K0A6	ENSG00000135423	GLS2	Known mitochondrial	NA
393	A8K0H0	ENSG00000165949	IFI27	Known mitochondrial	NA
394	A8K1M9	ENSG00000165046	LETM2	Known mitochondrial	NA
395	A8K5M9	ENSG00000188277	C15orf62	Known mitochondrial	NA
396	A8K7Q2	ENSG00000109971	HSPA8	Predicted mitochondrial	NA
397	A8MPV4	ENSG00000115204	MPV17	Known mitochondrial	NA
398	A8MRA7	ENSG00000123472	ATPAF1	Known mitochondrial	NA
399	A8MSI8	ENSG00000232859	LYRM9	Predicted mitochondrial	NA
400	A8MT25	ENSG00000177427	MIEF2	Known mitochondrial	NA
401	A8MT40	ENSG00000090857	PDPR	Known mitochondrial	NA
402	A8MTD3	ENSG00000115204	MPV17	Known mitochondrial	NA
403	A8MTS1	ENSG00000185917	SETD4	Predicted mitochondrial	NA
404	A8MTT3	ENSG00000218739	CEBPZOS	Known mitochondrial	NA
405	A8MUH2	ENSG00000154723	ATP5J	Known mitochondrial	NA
406	A8MUI2	ENSG00000170906	NDUFA3	Known mitochondrial	NA
407	A8MUL8	ENSG00000162927	PUS10	Predicted mitochondrial	NA
408	A8MUP2	ENSG00000214756	METTL12	Known mitochondrial	NA
409	A8MVM8	ENSG00000170906	NDUFA3	Known mitochondrial	NA
410	A8MVT4	ENSG00000214026	MRPL23	Known mitochondrial	NA
411	A8MWT1	ENSG00000183597	TANGO2	Known mitochondrial	NA
412	A8MX94	ENSG00000084207	GSTP1	Predicted mitochondrial	NA
413	A8MXK4	ENSG00000170889	RPS9	Predicted mitochondrial	NA
414	A8MXP8	ENSG00000117906	RCN2	Known mitochondrial	NA
415	A8MXU7	ENSG00000002330	BAD	Known mitochondrial	NA
417	A8MY48	ENSG00000188130	MAPK12	Known mitochondrial	NA
418	A8MYJ8	ENSG00000170906	NDUFA3	Known mitochondrial	NA
419	A8MYK1	ENSG00000214026	MRPL23	Known mitochondrial	NA
420	A8MYZ9	ENSG00000069998	HDHD5	Known mitochondrial	NA
421	A9X3U0	ENSG00000138942	RNF185	Known mitochondrial	NA
422	B0AZS6	ENSG00000164924	YWHAZ	Predicted mitochondrial	NA
423	B0QY95	ENSG00000100335	MIEF1	Known mitochondrial	NA
424	B0QYH2	ENSG00000100209	HSCB	Known mitochondrial	NA
425	B0YJC4	ENSG00000026025	VIM	Predicted mitochondrial	NA
426	B0YJC5	ENSG00000026025	VIM	Predicted mitochondrial	NA
427	B1AH49	ENSG00000128309	MPST	Known mitochondrial	NA
429	B1AKM6	ENSG00000241878	PISD	Known mitochondrial	NA
430	B1AKV2	ENSG00000101019	UQCC1	Known mitochondrial	NA
431	B1AKV4	ENSG00000101019	UQCC1	Known mitochondrial	NA
432	B1AL05	ENSG00000055950	MRPL43	Known mitochondrial	NA
433	B1ALU1	ENSG00000117114	ADGRL2	Predicted mitochondrial	NA
434	B1ALU3	ENSG00000117114	ADGRL2	Predicted mitochondrial	NA
435	B1ANG9	ENSG00000143774	GUK1	Known mitochondrial	NA
436	B1ANH5	ENSG00000143774	GUK1	Known mitochondrial	NA
437	B1ANH6	ENSG00000143774	GUK1	Known mitochondrial	NA
438	B3KN43	ENSG00000108826	MRPL27	Known mitochondrial	NA
439	B3KQ30	ENSG00000136003	ISCU	Known mitochondrial	NA
440	B3KQX1	ENSG00000106591	MRPL32	Known mitochondrial	NA
441	B3KR49	ENSG00000102882	MAPK3	Predicted mitochondrial	NA
442	B3KR61	ENSG00000101247	NDUFAF5	Known mitochondrial	NA
443	B3KSI3	ENSG00000105552	BCAT2	Known mitochondrial	NA
444	B3KTU4	ENSG00000145020	AMT	Known mitochondrial	NA
445	B3KUS5	ENSG00000135093	USP30	Known mitochondrial	NA
446	B3KW44	ENSG00000123600	METTL8	Known mitochondrial	NA
447	B3KY94	ENSG00000103502	CDIPT	Predicted mitochondrial	NA
448	B4DDK6	ENSG00000204152	TIMM23B	Known mitochondrial	NA
449	B4DDQ3	ENSG00000087470	DNM1L	Known mitochondrial	NA
450	B4DE93	ENSG00000167792	NDUFV1	Known mitochondrial	NA
451	B4DEM9	ENSG00000004142	POLDIP2	Known mitochondrial	NA
452	B4DEZ3	ENSG00000186010	NDUFA13	Known mitochondrial	NA
453	B4DFG5	ENSG00000013306	SLC25A39	Known mitochondrial	NA
454	B4DFI7	ENSG00000147576	ADHFE1	Known mitochondrial	NA
455	B4DFP7	ENSG00000122085	MTERF4	Known mitochondrial	NA
456	B4DFT4	ENSG00000105341	ATP5SL	Known mitochondrial	NA
457	B4DGK6	ENSG00000115840	SLC25A12	Known mitochondrial	NA
458	B4DI26	ENSG00000166260	COX11	Known mitochondrial	NA
459	B4DJ81	ENSG00000023228	NDUFS1	Known mitochondrial	NA
460	B4DJF2	ENSG00000108953	YWHAE	Predicted mitochondrial	NA
461	B4DJM9	ENSG00000104835	SARS2	Known mitochondrial	NA
462	B4DJV2	ENSG00000062485	CS	Known mitochondrial	NA
463	B4DK77	ENSG00000125741	OPA3	Known mitochondrial	NA
464	B4DK89	ENSG00000043514	TRIT1	Known mitochondrial	NA
465	B4DKD5	ENSG00000122085	MTERF4	Known mitochondrial	NA
466	B4DLR8	ENSG00000181019	NQO1	Known mitochondrial	NA
467	B4DML3	ENSG00000137274	BPHL	Predicted mitochondrial	NA
468	B4DMT0	ENSG00000161558	TMEM143	Predicted mitochondrial	NA
469	B4DNC9	ENSG00000136003	ISCU	Known mitochondrial	NA
470	B4DNK4	ENSG00000067225	PKM	Predicted mitochondrial	NA
471	B4DP25	ENSG00000106346	USP42	Predicted mitochondrial	NA
472	B4DP62	ENSG00000100075	SLC25A1	Known mitochondrial	NA
473	B4DP64	ENSG00000120992	LYPLA1	Predicted mitochondrial	NA
474	B4DP72	ENSG00000110871	COQ5	Known mitochondrial	NA
475	B4DPR9	ENSG00000127989	MTERF1	Known mitochondrial	NA
476	B4DPZ9	ENSG00000087470	DNM1L	Known mitochondrial	NA
477	B4DQ67	ENSG00000112855	HARS2	Known mitochondrial	NA
478	B4DRC1	ENSG00000101181	MTG2	Known mitochondrial	NA
479	B4DSL5	ENSG00000278259	MYO19	Known mitochondrial	NA
480	B4DV11	ENSG00000147576	ADHFE1	Known mitochondrial	NA
481	B4DVF4	ENSG00000060971	ACAA1	Predicted mitochondrial	NA
482	B4DW73	ENSG00000100889	PCK2	Known mitochondrial	NA
483	B4DYN2	ENSG00000140798	ABCC12	Predicted mitochondrial	NA
484	B4E059	ENSG00000166321	NUDT13	Predicted mitochondrial	NA
485	B4E0P2	ENSG00000059691	GATB	Known mitochondrial	NA
486	B4E0W7	ENSG00000003509	NDUFAF7	Known mitochondrial	NA
487	B4E101	ENSG00000144559	TAMM41	Known mitochondrial	NA
488	B4E298	ENSG00000165792	METTL17	Predicted mitochondrial	NA
489	B5MBW9	ENSG00000250479	CHCHD10	Known mitochondrial	NA
490	B5MC10	ENSG00000115204	MPV17	Known mitochondrial	NA
491	B5MC22	ENSG00000242114	MTFP1	Known mitochondrial	NA
492	B5MC53	ENSG00000115204	MPV17	Known mitochondrial	NA
493	B5MC64	ENSG00000169519	METTL15	Known mitochondrial	NA
494	B5MC82	ENSG00000099977	DDT	Predicted mitochondrial	NA
495	B5MCF8	ENSG00000115204	MPV17	Known mitochondrial	NA
496	B5MCJ1	ENSG00000183891	TTC32	Predicted mitochondrial	NA
497	B5MCT8	ENSG00000170889	RPS9	Predicted mitochondrial	NA
498	B5MCV2	ENSG00000180902	D2HGDH	Known mitochondrial	NA
499	B5MD00	ENSG00000196683	TOMM7	Known mitochondrial	NA
500	B5MD38	ENSG00000138029	HADHB	Known mitochondrial	NA
501	B5MDL5	ENSG00000188130	MAPK12	Known mitochondrial	NA
502	B7WNN4	ENSG00000142082	SIRT3	Known mitochondrial	NA
503	B7WPF5	ENSG00000142330	CAPN10	Known mitochondrial	NA
504	B7Z2E6	ENSG00000164924	YWHAZ	Predicted mitochondrial	NA
505	B7Z2R2	ENSG00000156467	UQCRB	Known mitochondrial	NA
506	B7Z3Z9	ENSG00000151726	ACSL1	Known mitochondrial	NA
507	B7Z415	ENSG00000151552	QDPR	Known mitochondrial	NA
508	B7Z4A5	ENSG00000183597	TANGO2	Known mitochondrial	NA
509	B7Z4W5	ENSG00000171097	KYAT1	Predicted mitochondrial	NA
510	B7Z509	ENSG00000115419	GLS	Known mitochondrial	NA
511	B7Z5R6	ENSG00000188554	NBR1	Known mitochondrial	NA
512	B7Z676	ENSG00000164038	SLC9B2	Known mitochondrial	NA
513	B7Z6C8	ENSG00000164209	SLC25A46	Known mitochondrial	NA
514	B7Z6W2	ENSG00000183597	TANGO2	Known mitochondrial	NA
515	B7Z8R2	ENSG00000049883	PTCD2	Known mitochondrial	NA
516	B7Z8V7	ENSG00000152620	NADK2	Known mitochondrial	NA
517	B7Z9I1	ENSG00000117054	ACADM	Known mitochondrial	NA
518	B7ZAG4	ENSG00000182134	TDRKH	Predicted mitochondrial	NA
519	B7ZAR9	ENSG00000090857	PDPR	Known mitochondrial	NA
520	B7ZAX5	ENSG00000156958	GALK2	Predicted mitochondrial	NA
521	B7ZAZ8	ENSG00000119689	DLST	Known mitochondrial	NA
522	B7ZL88	ENSG00000163626	COX18	Known mitochondrial	NA
523	B7ZLR4	ENSG00000123191	ATP7B	Known mitochondrial	NA
524	B7ZM99	ENSG00000120254	MTHFD1L	Known mitochondrial	NA
525	B8ZWD1	ENSG00000155368	DBI	Known mitochondrial	NA
526	B8ZZ38	ENSG00000138095	LRPPRC	Known mitochondrial	NA
527	B8ZZ54	ENSG00000115541	HSPE1	Known mitochondrial	NA
528	B8ZZA8	ENSG00000115419	GLS	Known mitochondrial	NA
529	B8ZZC5	ENSG00000115419	GLS	Known mitochondrial	NA
530	B8ZZE2	ENSG00000115275	MOGS	Predicted mitochondrial	NA
531	B8ZZJ6	ENSG00000144040	SFXN5	Known mitochondrial	NA
532	B8ZZL8	ENSG00000115541	HSPE1	Known mitochondrial	NA
533	B8ZZT5	ENSG00000144120	TMEM177	Predicted mitochondrial	NA
534	B8ZZU9	ENSG00000065911	MTHFD2	Known mitochondrial	NA
535	B8ZZV5	ENSG00000185414	MRPL30	Known mitochondrial	NA
536	B8ZZV9	ENSG00000115520	COQ10B	Known mitochondrial	NA
537	B8ZZX2	ENSG00000115520	COQ10B	Known mitochondrial	NA
538	B9A051	ENSG00000204822	MRPL53	Known mitochondrial	NA
539	B9A057	ENSG00000183513	COA5	Known mitochondrial	NA
540	B9A058	ENSG00000198130	HIBCH	Known mitochondrial	NA
541	B9A062	ENSG00000065911	MTHFD2	Known mitochondrial	NA
542	B9A067	ENSG00000132305	IMMT	Known mitochondrial	NA
543	C4P092	ENSG00000162946	DISC1	Known mitochondrial	NA
544	C4P093	ENSG00000162946	DISC1	Known mitochondrial	NA
545	C4P0A0	ENSG00000162946	DISC1	Known mitochondrial	NA
546	C4P0B0	ENSG00000162946	DISC1	Known mitochondrial	NA
547	C4P0B1	ENSG00000162946	DISC1	Known mitochondrial	NA
548	C9IY40	ENSG00000112651	MRPL2	Known mitochondrial	NA
549	C9IZ01	ENSG00000168827	GFM1	Known mitochondrial	NA
550	C9IZW8	ENSG00000090266	NDUFB2	Known mitochondrial	NA
551	C9IZZ2	ENSG00000090266	NDUFB2	Known mitochondrial	NA
552	C9J0K3	ENSG00000163607	GTPBP8	Predicted mitochondrial	NA
553	C9J140	ENSG00000131370	SH3BP5	Predicted mitochondrial	NA
554	C9J2Y4	ENSG00000035141	FAM136A	Known mitochondrial	NA
555	C9J3G2	ENSG00000136682	CBWD2	Predicted mitochondrial	NA
556	C9J3N5	ENSG00000168237	GLYCTK	Known mitochondrial	NA
557	C9J406	ENSG00000132305	IMMT	Known mitochondrial	NA
558	C9J5E0	ENSG00000112651	MRPL2	Known mitochondrial	NA
559	C9J634	ENSG00000168291	PDHB	Known mitochondrial	NA
560	C9J799	ENSG00000214113	LYRM4	Known mitochondrial	NA
561	C9J7L8	ENSG00000123130	ACOT9	Known mitochondrial	NA
562	C9J7Q4	ENSG00000106077	ABHD11	Known mitochondrial	NA
563	C9J7Z1	ENSG00000187024	PTRH1	Known mitochondrial	NA
564	C9J7Z8	ENSG00000132530	XAF1	Predicted mitochondrial	NA
565	C9J8Q5	ENSG00000112294	ALDH5A1	Known mitochondrial	NA
566	C9J8T6	ENSG00000138495	COX17	Known mitochondrial	NA
567	C9J8V5	ENSG00000163607	GTPBP8	Predicted mitochondrial	NA
568	C9JA32	ENSG00000168237	GLYCTK	Known mitochondrial	NA
569	C9JAX1	ENSG00000165060	FXN	Known mitochondrial	NA
570	C9JAX8	ENSG00000168273	SMIM4	Predicted mitochondrial	NA
571	C9JBU9	ENSG00000160124	CCDC58	Known mitochondrial	NA
572	C9JBY7	ENSG00000090263	MRPS33	Known mitochondrial	NA
573	C9JDE9	ENSG00000060971	ACAA1	Predicted mitochondrial	NA
574	C9JDT9	ENSG00000183597	TANGO2	Known mitochondrial	NA
575	C9JE15	ENSG00000133597	ADCK2	Predicted mitochondrial	NA
576	C9JES7	ENSG00000187118	CMC1	Known mitochondrial	NA
577	C9JIZ6	ENSG00000197746	PSAP	Predicted mitochondrial	NA
578	C9JJ19	ENSG00000074071	MRPS34	Known mitochondrial	NA
579	C9JLB7	ENSG00000154814	OXNAD1	Known mitochondrial	NA
580	C9JM19	ENSG00000170889	RPS9	Predicted mitochondrial	NA
581	C9JM56	ENSG00000145832	SLC25A48	Known mitochondrial	NA
582	C9JM75	ENSG00000156990	RPUSD3	Known mitochondrial	NA
583	C9JNK6	ENSG00000128654	MTX2	Known mitochondrial	NA
584	C9JNP8	ENSG00000175193	PARL	Known mitochondrial	NA
585	C9JNU6	ENSG00000181061	HIGD1A	Known mitochondrial	NA
586	C9JPE1	ENSG00000178537	SLC25A20	Known mitochondrial	NA
587	C9JQ41	ENSG00000160124	CCDC58	Known mitochondrial	NA
588	C9JQB1	ENSG00000172113	NME6	Known mitochondrial	NA
589	C9JQE1	ENSG00000184903	IMMP2L	Known mitochondrial	NA
590	C9JQS9	ENSG00000114054	PCCB	Known mitochondrial	NA
591	C9JRM1	ENSG00000067560	RHOA	Predicted mitochondrial	NA
592	C9JRV4	ENSG00000090266	NDUFB2	Known mitochondrial	NA
593	C9JRX8	ENSG00000214113	LYRM4	Known mitochondrial	NA
594	C9JRZ6	ENSG00000106554	CHCHD3	Known mitochondrial	NA
597	C9JTY4	ENSG00000197150	ABCB8	Known mitochondrial	NA
598	C9JU26	ENSG00000241468	ATP5J2	Known mitochondrial	NA
599	C9JU35	ENSG00000113845	TIMMDC1	Known mitochondrial	NA
600	C9JVN9	ENSG00000087299	L2HGDH	Known mitochondrial	NA
601	C9JX21	ENSG00000067560	RHOA	Predicted mitochondrial	NA
602	C9JXJ4	ENSG00000145020	AMT	Known mitochondrial	NA
603	C9JXM4	ENSG00000090266	NDUFB2	Known mitochondrial	NA
604	C9JXQ9	ENSG00000065518	NDUFB4	Known mitochondrial	NA
605	C9JY28	ENSG00000214113	LYRM4	Known mitochondrial	NA
606	C9JY63	ENSG00000164830	OXR1	Known mitochondrial	NA
607	C9JYI3	ENSG00000197150	ABCB8	Known mitochondrial	NA
608	C9JZG7	ENSG00000112651	MRPL2	Known mitochondrial	NA
609	C9JZW2	ENSG00000112651	MRPL2	Known mitochondrial	NA
610	D3DNX8	ENSG00000164040	PGRMC2	Predicted mitochondrial	NA
611	D3DP56	ENSG00000164306	PRIMPOL	Known mitochondrial	NA
612	D3DQ64	ENSG00000162433	AK4	Known mitochondrial	NA
613	D3YTC1	ENSG00000132313	MRPL35	Known mitochondrial	NA
614	D3YTF8	ENSG00000184470	TXNRD2	Known mitochondrial	NA
615	D4PHA6	ENSG00000175606	TMEM70	Known mitochondrial	NA
616	D6R8Z6	ENSG00000170502	NUDT9	Known mitochondrial	NA
617	D6R908	ENSG00000164306	PRIMPOL	Known mitochondrial	NA
618	D6R909	ENSG00000204628	RACK1	Predicted mitochondrial	NA
619	D6R916	ENSG00000164258	NDUFS4	Known mitochondrial	NA
620	D6R941	ENSG00000134056	MRPS36	Known mitochondrial	NA
621	D6R947	ENSG00000006282	SPATA20	Known mitochondrial	NA
622	D6R971	ENSG00000164306	PRIMPOL	Known mitochondrial	NA
623	D6R975	ENSG00000163864	NMNAT3	Known mitochondrial	NA
624	D6R994	ENSG00000186687	LYRM7	Known mitochondrial	NA
625	D6R9C3	ENSG00000112695	COX7A2	Known mitochondrial	NA
626	D6R9H7	ENSG00000159199	ATP5G1	Known mitochondrial	NA
627	D6R9I9	ENSG00000164163	ABCE1	Predicted mitochondrial	NA
628	D6R9M5	ENSG00000112855	HARS2	Known mitochondrial	NA
629	D6R9M6	ENSG00000014824	SLC30A9	Known mitochondrial	NA
630	D6R9P2	ENSG00000164038	SLC9B2	Known mitochondrial	NA
631	D6R9R1	ENSG00000131844	MCCC2	Known mitochondrial	NA
632	D6R9Y0	ENSG00000123213	NLN	Known mitochondrial	NA
633	D6R9Z3	ENSG00000177646	ACAD9	Known mitochondrial	NA
634	D6R9Z7	ENSG00000127184	COX7C	Known mitochondrial	NA
635	D6RA35	ENSG00000112695	COX7A2	Known mitochondrial	NA
636	D6RA37	ENSG00000104723	TUSC3	Predicted mitochondrial	NA
637	D6RA56	ENSG00000164182	NDUFAF2	Known mitochondrial	NA
638	D6RAB6	ENSG00000186314	PRELID2	Predicted mitochondrial	NA
639	D6RAC2	ENSG00000204628	RACK1	Predicted mitochondrial	NA
640	D6RAD3	ENSG00000138777	PPA2	Known mitochondrial	NA
641	D6RAE9	ENSG00000164466	SFXN1	Known mitochondrial	NA
642	D6RAN8	ENSG00000108826	MRPL27	Known mitochondrial	NA
643	D6RAR0	ENSG00000175309	PHYKPL	Known mitochondrial	NA
644	D6RAR2	ENSG00000232859	LYRM9	Predicted mitochondrial	NA
645	D6RAR6	ENSG00000124279	FASTKD3	Known mitochondrial	NA
646	D6RAU2	ENSG00000204628	RACK1	Predicted mitochondrial	NA
647	D6RAV8	ENSG00000145439	CBR4	Known mitochondrial	NA
648	D6RAW4	ENSG00000132305	IMMT	Known mitochondrial	NA
649	D6RAW7	ENSG00000163071	SPATA18	Known mitochondrial	NA
650	D6RAX6	ENSG00000163071	SPATA18	Known mitochondrial	NA
651	D6RB04	ENSG00000124279	FASTKD3	Known mitochondrial	NA
652	D6RB25	ENSG00000039560	RAI14	Predicted mitochondrial	NA
653	D6RB26	ENSG00000114120	SLC25A36	Known mitochondrial	NA
654	D6RB81	ENSG00000242110	AMACR	Known mitochondrial	NA
655	D6RBE3	ENSG00000150756	FAM173B	Predicted mitochondrial	NA
656	D6RBJ0	ENSG00000151806	GUF1	Known mitochondrial	NA
657	D6RBN5	ENSG00000109180	OCIAD1	Known mitochondrial	NA
658	D6RBT3	ENSG00000145494	NDUFS6	Known mitochondrial	NA
659	D6RBV5	ENSG00000186687	LYRM7	Known mitochondrial	NA
660	D6RBW6	ENSG00000039560	RAI14	Predicted mitochondrial	NA
661	D6RBX6	ENSG00000143252	SDHC	Known mitochondrial	NA
662	D6RC47	ENSG00000169230	PRELID1	Known mitochondrial	NA
663	D6RC55	ENSG00000109180	OCIAD1	Known mitochondrial	NA
664	D6RC70	ENSG00000006282	SPATA20	Known mitochondrial	NA
665	D6RCB8	ENSG00000175309	PHYKPL	Known mitochondrial	NA
666	D6RCD7	ENSG00000113013	HSPA9	Known mitochondrial	NA
667	D6RCF4	ENSG00000145354	CISD2	Predicted mitochondrial	NA
668	D6RCF5	ENSG00000114120	SLC25A36	Known mitochondrial	NA
669	D6RCM2	ENSG00000163319	MRPS18C	Known mitochondrial	NA
670	D6RCP8	ENSG00000121897	LIAS	Known mitochondrial	NA
671	D6RD16	ENSG00000127022	CANX	Predicted mitochondrial	NA
672	D6RD77	ENSG00000145247	OCIAD2	Known mitochondrial	NA
673	D6RD89	ENSG00000175309	PHYKPL	Known mitochondrial	NA
674	D6RDF7	ENSG00000131844	MCCC2	Known mitochondrial	NA
675	D6RDH7	ENSG00000113013	HSPA9	Known mitochondrial	NA
676	D6RDI0	ENSG00000204628	RACK1	Predicted mitochondrial	NA
677	D6RDI8	ENSG00000240303	ACAD11	Known mitochondrial	NA
678	D6RDK9	ENSG00000177646	ACAD9	Known mitochondrial	NA
679	D6RDL2	ENSG00000039560	RAI14	Predicted mitochondrial	NA
680	D6RDN5	ENSG00000172955	ADH6	Predicted mitochondrial	NA
681	D6RDU9	ENSG00000059691	GATB	Known mitochondrial	NA
682	D6RDV0	ENSG00000104723	TUSC3	Predicted mitochondrial	NA
683	D6RDV2	ENSG00000101019	UQCC1	Known mitochondrial	NA
684	D6RE11	ENSG00000108826	MRPL27	Known mitochondrial	NA
685	D6RE70	ENSG00000163319	MRPS18C	Known mitochondrial	NA
686	D6REA0	ENSG00000059691	GATB	Known mitochondrial	NA
687	D6REB7	ENSG00000073578	SDHA	Known mitochondrial	NA
688	D6REC8	ENSG00000163864	NMNAT3	Known mitochondrial	NA
689	D6REL2	ENSG00000039560	RAI14	Predicted mitochondrial	NA
690	D6REM1	ENSG00000113384	GOLPH3	Known mitochondrial	NA
691	D6REN8	ENSG00000117305	HMGCL	Known mitochondrial	NA
692	D6REP1	ENSG00000164258	NDUFS4	Known mitochondrial	NA
693	D6RER0	ENSG00000151726	ACSL1	Known mitochondrial	NA
694	D6RER6	ENSG00000080819	CPOX	Known mitochondrial	NA
695	D6REW1	ENSG00000169230	PRELID1	Known mitochondrial	NA
696	D6RF07	ENSG00000109180	OCIAD1	Known mitochondrial	NA
697	D6RF15	ENSG00000167107	ACSF2	Known mitochondrial	NA
698	D6RF23	ENSG00000204628	RACK1	Predicted mitochondrial	NA
699	D6RF62	ENSG00000128050	PAICS	Known mitochondrial	NA
700	D6RFH4	ENSG00000103018	CYB5B	Known mitochondrial	NA
701	D6RFL2	ENSG00000232859	LYRM9	Predicted mitochondrial	NA
702	D6RFM5	ENSG00000073578	SDHA	Known mitochondrial	NA
703	D6RFW8	ENSG00000145832	SLC25A48	Known mitochondrial	NA
704	D6RFY5	ENSG00000102309	PIN4	Known mitochondrial	NA
705	D6RG07	ENSG00000151726	ACSL1	Known mitochondrial	NA
706	D6RG29	ENSG00000127022	CANX	Predicted mitochondrial	NA
707	D6RGF2	ENSG00000145439	CBR4	Known mitochondrial	NA
708	D6RGG7	ENSG00000151552	QDPR	Known mitochondrial	NA
709	D6RGG8	ENSG00000163864	NMNAT3	Known mitochondrial	NA
710	D6RGH7	ENSG00000163864	NMNAT3	Known mitochondrial	NA
711	D6RGI2	ENSG00000163071	SPATA18	Known mitochondrial	NA
712	D6RGI6	ENSG00000164284	GRPEL2	Known mitochondrial	NA
713	D6RGK6	ENSG00000177646	ACAD9	Known mitochondrial	NA
714	D6RGK8	ENSG00000204628	RACK1	Predicted mitochondrial	NA
715	D6RGY4	ENSG00000059691	GATB	Known mitochondrial	NA
716	D6RHH4	ENSG00000204628	RACK1	Predicted mitochondrial	NA
717	D6RHJ5	ENSG00000204628	RACK1	Predicted mitochondrial	NA
718	D6RHJ7	ENSG00000151552	QDPR	Known mitochondrial	NA
719	D6RI09	ENSG00000164258	NDUFS4	Known mitochondrial	NA
720	D6RIE0	ENSG00000150756	FAM173B	Predicted mitochondrial	NA
721	D6RIE3	ENSG00000112695	COX7A2	Known mitochondrial	NA
722	D6RIS5	ENSG00000151611	MMAA	Known mitochondrial	NA
723	D6RIU6	ENSG00000006282	SPATA20	Known mitochondrial	NA
724	D6RIV2	ENSG00000109180	OCIAD1	Known mitochondrial	NA
725	D6RIY7	ENSG00000104723	TUSC3	Predicted mitochondrial	NA
726	D6RIZ0	ENSG00000049883	PTCD2	Known mitochondrial	NA
727	D6RJA8	ENSG00000177646	ACAD9	Known mitochondrial	NA
728	D6RJC7	ENSG00000113048	MRPS27	Known mitochondrial	NA
729	D6RJF4	ENSG00000145439	CBR4	Known mitochondrial	NA
730	D6RJH8	ENSG00000049883	PTCD2	Known mitochondrial	NA
731	D6RJI0	ENSG00000174032	SLC25A30	Known mitochondrial	NA
732	E1CKY7	ENSG00000077157	PPP1R12B	Predicted mitochondrial	NA
733	E2QRB3	ENSG00000183010	PYCR1	Known mitochondrial	NA
734	E2QRG7	ENSG00000173085	COQ2	Known mitochondrial	NA
735	E5G745	ENSG00000135423	GLS2	Known mitochondrial	NA
736	E5KLJ5	ENSG00000198836	OPA1	Known mitochondrial	NA
737	E5KLJ6	ENSG00000198836	OPA1	Known mitochondrial	NA
738	E5KLJ9	ENSG00000198836	OPA1	Known mitochondrial	NA
739	E5KLK1	ENSG00000198836	OPA1	Known mitochondrial	NA
740	E5KP25	ENSG00000132781	MUTYH	Predicted mitochondrial	NA
741	E5RFD1	ENSG00000164830	OXR1	Known mitochondrial	NA
742	E5RFE9	ENSG00000104765	BNIP3L	Known mitochondrial	NA
743	E5RFF7	ENSG00000135297	MTO1	Known mitochondrial	NA
744	E5RFH3	ENSG00000147586	MRPS28	Known mitochondrial	NA
745	E5RFH7	ENSG00000188343	FAM92A	Predicted mitochondrial	NA
746	E5RFH8	ENSG00000115944	COX7A2L	Known mitochondrial	NA
747	E5RFI2	ENSG00000172172	MRPL13	Known mitochondrial	NA
748	E5RFL1	ENSG00000078668	VDAC3	Known mitochondrial	NA
