Protein	Gene.ID	Gene	Status	CAFA
F8WF10	ENSG00000183833	MAATS1	Known mitochondrial	NA
F8WF37	ENSG00000243147	MRPL33	Known mitochondrial	NA
F8WF44	ENSG00000198814	GK	Known mitochondrial	NA
F8WF46	ENSG00000078070	MCCC1	Known mitochondrial	NA
F8WF52	ENSG00000178694	NSUN3	Known mitochondrial	NA
F8WF58	ENSG00000114021	NIT2	Predicted mitochondrial	NA
F8WF68	ENSG00000163617	CCDC191	Predicted mitochondrial	NA
F8WF70	ENSG00000114021	NIT2	Predicted mitochondrial	NA
F8WF89	ENSG00000065911	MTHFD2	Known mitochondrial	NA
F8WFB6	ENSG00000183773	AIFM3	Known mitochondrial	NA
F8WFC0	ENSG00000222011	FAM185A	Known mitochondrial	NA
F8WFC7	ENSG00000237289	CKMT1B	Known mitochondrial	NA
F8WFD0	ENSG00000136682	CBWD2	Predicted mitochondrial	NA
F8WFD8	ENSG00000100422	CERK	Predicted mitochondrial	NA
G3V0E4	ENSG00000105819	PMPCB	Known mitochondrial	NA
G3V0E5	ENSG00000072274	TFRC	Predicted mitochondrial	NA
G3V0F3	ENSG00000144559	TAMM41	Known mitochondrial	NA
G3V0I0	ENSG00000114383	TUSC2	Predicted mitochondrial	NA
G3V0I5	ENSG00000167792	NDUFV1	Known mitochondrial	NA
G3V133	ENSG00000197226	TBC1D9B	Predicted mitochondrial	NA
G3V136	ENSG00000083099	LYRM2	Known mitochondrial	NA
G3V155	ENSG00000213593	TMX2	Predicted mitochondrial	NA
G3V173	ENSG00000204370	SDHD	Known mitochondrial	NA
G3V192	ENSG00000167996	FTH1	Predicted mitochondrial	NA
G3V194	ENSG00000213619	NDUFS3	Known mitochondrial	NA
G3V1A1	ENSG00000161016	RPL8	Predicted mitochondrial	NA
G3V1B6	ENSG00000184831	APOO	Known mitochondrial	NA
G3V1D1	ENSG00000167996	FTH1	Predicted mitochondrial	NA
G3V1D8	ENSG00000254402	LRRC24	Predicted mitochondrial	NA
G3V1R2	ENSG00000130347	RTN4IP1	Known mitochondrial	NA
G3V1R6	ENSG00000164896	FASTK	Predicted mitochondrial	NA
G3V1R7	ENSG00000140284	SLC27A2	Predicted mitochondrial	NA
G3V1T1	ENSG00000110011	DNAJC4	Predicted mitochondrial	NA
G3V210	ENSG00000089157	RPLP0	Predicted mitochondrial	NA
G3V213	ENSG00000004455	AK2	Known mitochondrial	NA
G3V267	ENSG00000100577	GSTZ1	Known mitochondrial	NA
G3V272	ENSG00000087299	L2HGDH	Known mitochondrial	NA
G3V2D2	ENSG00000182199	SHMT2	Known mitochondrial	NA
G3V2D9	ENSG00000100823	APEX1	Known mitochondrial	NA
G3V2E4	ENSG00000182199	SHMT2	Known mitochondrial	NA
G3V2L5	ENSG00000119723	COQ6	Known mitochondrial	NA
G3V2N6	ENSG00000258947	TUBB3	Known mitochondrial	NA
G3V2R8	ENSG00000258947	TUBB3	Known mitochondrial	NA
G3V2S9	ENSG00000119705	SLIRP	Known mitochondrial	NA
G3V2U5	ENSG00000133983	COX16	Known mitochondrial	NA
G3V2Y1	ENSG00000182199	SHMT2	Known mitochondrial	NA
G3V332	ENSG00000205707	ETFRF1	Predicted mitochondrial	NA
G3V374	ENSG00000140107	SLC25A47	Predicted mitochondrial	NA
G3V3B9	ENSG00000100577	GSTZ1	Known mitochondrial	NA
G3V3C6	ENSG00000182199	SHMT2	Known mitochondrial	NA
G3V3E2	ENSG00000087299	L2HGDH	Known mitochondrial	NA
G3V3F0	ENSG00000119689	DLST	Known mitochondrial	NA
G3V3J2	ENSG00000063761	ADCK1	Predicted mitochondrial	NA
G3V3J6	ENSG00000258947	TUBB3	Known mitochondrial	NA
G3V3L0	ENSG00000119723	COQ6	Known mitochondrial	NA
G3V3Q2	ENSG00000126215	XRCC3	Known mitochondrial	NA
G3V3R4	ENSG00000258947	TUBB3	Known mitochondrial	NA
G3V3U6	ENSG00000172590	MRPL52	Known mitochondrial	NA
G3V3W7	ENSG00000258947	TUBB3	Known mitochondrial	NA
G3V3X4	ENSG00000197045	GMFB	Predicted mitochondrial	NA
G3V427	ENSG00000205707	ETFRF1	Predicted mitochondrial	NA
G3V434	ENSG00000119723	COQ6	Known mitochondrial	NA
G3V441	ENSG00000197119	SLC25A29	Known mitochondrial	NA
G3V446	ENSG00000125375	ATP5S	Known mitochondrial	NA
G3V498	ENSG00000119689	DLST	Known mitochondrial	NA
G3V4A4	ENSG00000196860	TOMM20L	Known mitochondrial	NA
G3V4A6	ENSG00000119723	COQ6	Known mitochondrial	NA
G3V4F2	ENSG00000184227	ACOT1	Predicted mitochondrial	NA
G3V4H8	ENSG00000197119	SLC25A29	Known mitochondrial	NA
G3V4H9	ENSG00000172590	MRPL52	Known mitochondrial	NA
G3V4K2	ENSG00000133703	KRAS	Known mitochondrial	NA
G3V4L6	ENSG00000256053	APOPT1	Known mitochondrial	NA
G3V4M4	ENSG00000100601	ALKBH1	Known mitochondrial	NA
G3V4N6	ENSG00000100445	SDR39U1	Predicted mitochondrial	NA
G3V4R2	ENSG00000205707	ETFRF1	Predicted mitochondrial	NA
G3V4T6	ENSG00000100577	GSTZ1	Known mitochondrial	NA
G3V4U2	ENSG00000258947	TUBB3	Known mitochondrial	NA
G3V4X6	ENSG00000119705	SLIRP	Known mitochondrial	NA
G3V4Z1	ENSG00000139990	DCAF5	Predicted mitochondrial	NA
G3V4Z4	ENSG00000119711	ALDH6A1	Known mitochondrial	NA
G3V502	ENSG00000100575	TIMM9	Known mitochondrial	NA
G3V540	ENSG00000182199	SHMT2	Known mitochondrial	NA
G3V556	ENSG00000156411	C14orf2	Known mitochondrial	NA
G3V560	ENSG00000185633	NDUFA4L2	Known mitochondrial	NA
G3V574	ENSG00000100823	APEX1	Known mitochondrial	NA
G3V5L9	ENSG00000119689	DLST	Known mitochondrial	NA
G3V5M3	ENSG00000119689	DLST	Known mitochondrial	NA
G3V5S1	ENSG00000087299	L2HGDH	Known mitochondrial	NA
G3V5S2	ENSG00000140009	ESR2	Known mitochondrial	NA
G3V5T0	ENSG00000100577	GSTZ1	Known mitochondrial	NA
G3V5T1	ENSG00000100445	SDR39U1	Predicted mitochondrial	NA
G3V5T7	ENSG00000133703	KRAS	Known mitochondrial	NA
G3V5W4	ENSG00000258947	TUBB3	Known mitochondrial	NA
G3XA94	ENSG00000113845	TIMMDC1	Known mitochondrial	NA
G3XAF1	ENSG00000026652	AGPAT4	Predicted mitochondrial	NA
G3XAL0	ENSG00000146701	MDH2	Known mitochondrial	NA
G3XAM4	ENSG00000147679	UTP23	Predicted mitochondrial	NA
G3XAN8	ENSG00000150779	TIMM8B	Known mitochondrial	NA
G5E9D5	ENSG00000006744	ELAC2	Known mitochondrial	NA
G5E9E8	ENSG00000180902	D2HGDH	Known mitochondrial	NA
G5E9E9	ENSG00000168393	DTYMK	Predicted mitochondrial	NA
G5E9F5	ENSG00000115204	MPV17	Known mitochondrial	NA
G5E9G0	ENSG00000100316	RPL3	Predicted mitochondrial	NA
G5E9P5	ENSG00000172590	MRPL52	Known mitochondrial	NA
G5E9P6	ENSG00000112096	SOD2	Known mitochondrial	NA
G5E9Q7	ENSG00000067829	IDH3G	Known mitochondrial	NA
G5E9R0	ENSG00000075624	ACTB	Known mitochondrial	NA
G5E9V2	ENSG00000205981	DNAJC19	Known mitochondrial	NA
G5E9V5	ENSG00000175110	MRPS22	Known mitochondrial	NA
G5E9W7	ENSG00000175110	MRPS22	Known mitochondrial	NA
G5E9X4	ENSG00000135423	GLS2	Known mitochondrial	NA
G5E9X5	ENSG00000078070	MCCC1	Known mitochondrial	NA
G5EA06	ENSG00000113048	MRPS27	Known mitochondrial	NA
G5EA27	ENSG00000168569	TMEM223	Predicted mitochondrial	NA
G5EA40	ENSG00000139160	ETFBKMT	Known mitochondrial	NA
G8JLA1	ENSG00000160439	RDH13	Predicted mitochondrial	NA
G8JLD5	ENSG00000087470	DNM1L	Known mitochondrial	NA
G8JLH9	ENSG00000168610	STAT3	Known mitochondrial	NA
G8JLQ3	ENSG00000135441	BLOC1S1	Known mitochondrial	NA
H0UI06	ENSG00000112695	COX7A2	Known mitochondrial	NA
H0Y2S1	ENSG00000178605	GTPBP6	Known mitochondrial	NA
H0Y2X1	ENSG00000178927	C17orf62	Predicted mitochondrial	NA
H0Y4U7	ENSG00000154258	ABCA9	Predicted mitochondrial	NA
H0Y5Z6	ENSG00000156113	KCNMA1	Known mitochondrial	NA
H0Y695	ENSG00000145020	AMT	Known mitochondrial	NA
H0Y6Y5	ENSG00000173171	MTX1	Known mitochondrial	NA
H0Y7U2	ENSG00000162946	DISC1	Known mitochondrial	NA
H0YCZ5	ENSG00000144741	SLC25A26	Known mitochondrial	NA
H0YG54	ENSG00000076043	REXO2	Known mitochondrial	NA
H0YK49	ENSG00000140374	ETFA	Known mitochondrial	NA
H0YK98	ENSG00000140280	LYSMD2	Predicted mitochondrial	NA
H0YKC4	ENSG00000100889	PCK2	Known mitochondrial	NA
H0YKI0	ENSG00000128951	DUT	Known mitochondrial	NA
H0YKN4	ENSG00000182718	ANXA2	Predicted mitochondrial	NA
H0YKW9	ENSG00000171766	GATM	Known mitochondrial	NA
H0YL11	ENSG00000182054	IDH2	Known mitochondrial	NA
H0YL22	ENSG00000137806	NDUFAF1	Known mitochondrial	NA
H0YL72	ENSG00000166411	IDH3A	Known mitochondrial	NA
H0YL83	ENSG00000140374	ETFA	Known mitochondrial	NA
H0YL99	ENSG00000181991	MRPS11	Known mitochondrial	NA
H0YLF8	ENSG00000166411	IDH3A	Known mitochondrial	NA
H0YLF9	ENSG00000156958	GALK2	Predicted mitochondrial	NA
H0YLK3	ENSG00000156958	GALK2	Predicted mitochondrial	NA
H0YLL5	ENSG00000182054	IDH2	Known mitochondrial	NA
H0YLV6	ENSG00000182718	ANXA2	Predicted mitochondrial	NA
H0YLV7	ENSG00000137824	RMDN3	Known mitochondrial	NA
H0YM12	ENSG00000140374	ETFA	Known mitochondrial	NA
H0YM31	ENSG00000100889	PCK2	Known mitochondrial	NA
H0YM44	ENSG00000156958	GALK2	Predicted mitochondrial	NA
H0YM48	ENSG00000166855	CLPX	Known mitochondrial	NA
H0YML1	ENSG00000156958	GALK2	Predicted mitochondrial	NA
H0YML5	ENSG00000100889	PCK2	Known mitochondrial	NA
H0YMM5	ENSG00000128951	DUT	Known mitochondrial	NA
H0YMU8	ENSG00000140374	ETFA	Known mitochondrial	NA
H0YMU9	ENSG00000182718	ANXA2	Predicted mitochondrial	NA
H0YMY5	ENSG00000166411	IDH3A	Known mitochondrial	NA
H0YN13	ENSG00000189227	C15orf61	Known mitochondrial	NA
H0YN31	ENSG00000156958	GALK2	Predicted mitochondrial	NA
H0YN64	ENSG00000259494	MRPL46	Known mitochondrial	NA
H0YN87	ENSG00000156958	GALK2	Predicted mitochondrial	NA
H0YNC2	ENSG00000157379	DHRS1	Predicted mitochondrial	NA
H0YNF5	ENSG00000166411	IDH3A	Known mitochondrial	NA
H0YNF8	ENSG00000166411	IDH3A	Known mitochondrial	NA
H0YNH9	ENSG00000100889	PCK2	Known mitochondrial	NA
H0YNJ9	ENSG00000128951	DUT	Known mitochondrial	NA
H0YNU4	ENSG00000080815	PSEN1	Known mitochondrial	NA
H0YNW5	ENSG00000128951	DUT	Known mitochondrial	NA
H3BM70	ENSG00000166816	LDHD	Known mitochondrial	NA
H3BMD2	ENSG00000110090	CPT1A	Known mitochondrial	NA
H3BMF4	ENSG00000169682	SPNS1	Known mitochondrial	NA
H3BMI3	ENSG00000085491	SLC25A24	Known mitochondrial	NA
H3BMP9	ENSG00000140983	RHOT2	Known mitochondrial	NA
H3BMR9	ENSG00000065427	KARS	Known mitochondrial	NA
H3BN04	ENSG00000136371	MTHFS	Known mitochondrial	NA
H3BN28	ENSG00000103121	CMC2	Known mitochondrial	NA
H3BN72	ENSG00000131143	COX4I1	Known mitochondrial	NA
H3BNA8	ENSG00000102897	LYRM1	Known mitochondrial	NA
H3BNE8	ENSG00000004779	NDUFAB1	Known mitochondrial	NA
H3BNJ9	ENSG00000066813	ACSM2B	Known mitochondrial	NA
H3BNK2	ENSG00000102897	LYRM1	Known mitochondrial	NA
H3BNM3	ENSG00000174177	CTU2	Predicted mitochondrial	NA
H3BNN8	ENSG00000103121	CMC2	Known mitochondrial	NA
H3BNQ7	ENSG00000183044	ABAT	Known mitochondrial	NA
H3BNU3	ENSG00000178952	TUFM	Known mitochondrial	NA
H3BNV1	ENSG00000140905	GCSH	Known mitochondrial	NA
H3BNV2	ENSG00000181019	NQO1	Known mitochondrial	NA
H3BNV9	ENSG00000131143	COX4I1	Known mitochondrial	NA
H3BNX8	ENSG00000178741	COX5A	Known mitochondrial	NA
H3BP28	ENSG00000167186	COQ7	Known mitochondrial	NA
H3BP40	ENSG00000140983	RHOT2	Known mitochondrial	NA
H3BP47	ENSG00000174109	C16orf91	Known mitochondrial	NA
H3BP68	ENSG00000103121	CMC2	Known mitochondrial	NA
H3BP77	ENSG00000166548	TK2	Known mitochondrial	NA
H3BP84	ENSG00000183044	ABAT	Known mitochondrial	NA
H3BPC6	ENSG00000088682	COQ9	Known mitochondrial	NA
H3BPE8	ENSG00000103254	FAM173A	Predicted mitochondrial	NA
H3BPF0	ENSG00000140905	GCSH	Known mitochondrial	NA
H3BPJ9	ENSG00000140990	NDUFB10	Known mitochondrial	NA
H3BPP2	ENSG00000103121	CMC2	Known mitochondrial	NA
H3BPQ4	ENSG00000063854	HAGH	Known mitochondrial	NA
H3BPR2	ENSG00000103024	NME3	Predicted mitochondrial	NA
H3BPR4	ENSG00000131143	COX4I1	Known mitochondrial	NA
H3BPW8	ENSG00000183044	ABAT	Known mitochondrial	NA
H3BPY3	ENSG00000103356	EARS2	Known mitochondrial	NA
H3BQ19	ENSG00000125170	DOK4	Predicted mitochondrial	NA
H3BQ34	ENSG00000067225	PKM	Predicted mitochondrial	NA
H3BQG3	ENSG00000090857	PDPR	Known mitochondrial	NA
H3BQI0	ENSG00000103356	EARS2	Known mitochondrial	NA
H3BQK5	ENSG00000065427	KARS	Known mitochondrial	NA
H3BQP8	ENSG00000103356	EARS2	Known mitochondrial	NA
H3BQQ4	ENSG00000127554	GFER	Known mitochondrial	NA
H3BQZ3	ENSG00000067225	PKM	Predicted mitochondrial	NA
H3BR70	ENSG00000067225	PKM	Predicted mitochondrial	NA
H3BRC0	ENSG00000088682	COQ9	Known mitochondrial	NA
H3BRC3	ENSG00000103121	CMC2	Known mitochondrial	NA
H3BRC9	ENSG00000065427	KARS	Known mitochondrial	NA
H3BRE7	ENSG00000125166	GOT2	Known mitochondrial	NA
H3BRG4	ENSG00000140740	UQCRC2	Known mitochondrial	NA
H3BRI0	ENSG00000178741	COX5A	Known mitochondrial	NA
H3BRK3	ENSG00000181019	NQO1	Known mitochondrial	NA
H3BRM5	ENSG00000178741	COX5A	Known mitochondrial	NA
H3BRN4	ENSG00000183044	ABAT	Known mitochondrial	NA
H3BRP5	ENSG00000197006	METTL9	Predicted mitochondrial	NA
H3BRS5	ENSG00000090857	PDPR	Known mitochondrial	NA
H3BRW3	ENSG00000127554	GFER	Known mitochondrial	NA
H3BS02	ENSG00000103507	BCKDK	Known mitochondrial	NA
H3BS11	ENSG00000167186	COQ7	Known mitochondrial	NA
H3BSJ5	ENSG00000088682	COQ9	Known mitochondrial	NA
H3BSJ9	ENSG00000140740	UQCRC2	Known mitochondrial	NA
H3BST9	ENSG00000125170	DOK4	Predicted mitochondrial	NA
H3BSW6	ENSG00000174177	CTU2	Predicted mitochondrial	NA
H3BT37	ENSG00000134419	RPS15A	Predicted mitochondrial	NA
H3BTB6	ENSG00000103121	CMC2	Known mitochondrial	NA
H3BTB7	ENSG00000103356	EARS2	Known mitochondrial	NA
H3BTJ0	ENSG00000117616	RSRP1	Predicted mitochondrial	NA
H3BTJ7	ENSG00000103502	CDIPT	Predicted mitochondrial	NA
H3BTR3	ENSG00000167264	DUS2	Predicted mitochondrial	NA
H3BTS9	ENSG00000197006	METTL9	Predicted mitochondrial	NA
H3BTX9	ENSG00000066813	ACSM2B	Known mitochondrial	NA
H3BU49	ENSG00000102931	ARL2BP	Known mitochondrial	NA
H3BUE4	ENSG00000140740	UQCRC2	Known mitochondrial	NA
H3BUI9	ENSG00000140740	UQCRC2	Known mitochondrial	NA
H3BUR9	ENSG00000103502	CDIPT	Predicted mitochondrial	NA
H3BUW7	ENSG00000133121	STARD13	Predicted mitochondrial	NA
H3BUX2	ENSG00000103018	CYB5B	Known mitochondrial	NA
H3BUX4	ENSG00000140983	RHOT2	Known mitochondrial	NA
H3BUY0	ENSG00000197345	MRPL21	Known mitochondrial	NA
H3BV27	ENSG00000134419	RPS15A	Predicted mitochondrial	NA
H3BV57	ENSG00000166548	TK2	Known mitochondrial	NA
H3BV69	ENSG00000178741	COX5A	Known mitochondrial	NA
H3BVI5	ENSG00000140983	RHOT2	Known mitochondrial	NA
H6UYS7	ENSG00000145335	SNCA	Known mitochondrial	NA
H7BXF6	ENSG00000138035	PNPT1	Known mitochondrial	NA
H7BXM8	ENSG00000170632	ARMC10	Known mitochondrial	NA
H7BXQ8	ENSG00000170632	ARMC10	Known mitochondrial	NA
H7BXS6	ENSG00000173124	ACSM6	Known mitochondrial	NA
H7BXY3	ENSG00000132153	DHX30	Known mitochondrial	NA
H7BXZ6	ENSG00000126858	RHOT1	Known mitochondrial	NA
H7BY58	ENSG00000120265	PCMT1	Predicted mitochondrial	NA
H7BYH4	ENSG00000142168	SOD1	Predicted mitochondrial	NA
H7BYZ2	ENSG00000173124	ACSM6	Known mitochondrial	NA
H7BZ94	ENSG00000185624	P4HB	Known mitochondrial	NA
H7C101	ENSG00000006695	COX10	Known mitochondrial	NA
H7C1J4	ENSG00000065060	UHRF1BP1	Predicted mitochondrial	NA
H7C1Q4	ENSG00000102794	ACOD1	Predicted mitochondrial	NA
H7C430	ENSG00000144741	SLC25A26	Known mitochondrial	NA
H7C611	ENSG00000101019	UQCC1	Known mitochondrial	NA
H9KV75	ENSG00000072110	ACTN1	Predicted mitochondrial	NA
I3L0B8	ENSG00000141437	SLC25A52	Known mitochondrial	NA
I3L0K7	ENSG00000126602	TRAP1	Known mitochondrial	NA
I3L0T6	ENSG00000171861	MRM3	Known mitochondrial	NA
I3L0W4	ENSG00000141504	SAT2	Known mitochondrial	NA
I3L0W5	ENSG00000108953	YWHAE	Predicted mitochondrial	NA
I3L0X1	ENSG00000072210	ALDH3A2	Known mitochondrial	NA
I3L0X9	ENSG00000217930	PAM16	Known mitochondrial	NA
I3L166	ENSG00000103356	EARS2	Known mitochondrial	NA
I3L1F4	ENSG00000167699	GLOD4	Known mitochondrial	NA
I3L1I6	ENSG00000103423	DNAJA3	Known mitochondrial	NA
I3L1K9	ENSG00000217930	PAM16	Known mitochondrial	NA
I3L1N9	ENSG00000145354	CISD2	Predicted mitochondrial	NA
I3L1T0	ENSG00000167186	COQ7	Known mitochondrial	NA
I3L1T9	ENSG00000103423	DNAJA3	Known mitochondrial	NA
I3L1U7	ENSG00000217930	PAM16	Known mitochondrial	NA
I3L1Y5	ENSG00000185624	P4HB	Known mitochondrial	NA
I3L208	ENSG00000204237	OXLD1	Predicted mitochondrial	NA
I3L223	ENSG00000108829	LRRC59	Known mitochondrial	NA
I3L246	ENSG00000134419	RPS15A	Predicted mitochondrial	NA
I3L267	ENSG00000182676	PPP1R27	Predicted mitochondrial	NA
I3L277	ENSG00000167699	GLOD4	Known mitochondrial	NA
I3L2B3	ENSG00000132530	XAF1	Predicted mitochondrial	NA
I3L2C2	ENSG00000167699	GLOD4	Known mitochondrial	NA
I3L2W1	ENSG00000072210	ALDH3A2	Known mitochondrial	NA
I3L2W7	ENSG00000141504	SAT2	Known mitochondrial	NA
I3L303	ENSG00000134419	RPS15A	Predicted mitochondrial	NA
I3L3B0	ENSG00000108561	C1QBP	Known mitochondrial	NA
I3L3D3	ENSG00000103423	DNAJA3	Known mitochondrial	NA
I3L3E6	ENSG00000179314	WSCD1	Predicted mitochondrial	NA
I3L3L4	ENSG00000126602	TRAP1	Known mitochondrial	NA
I3L3N9	ENSG00000183048	SLC25A10	Known mitochondrial	NA
I3L3P7	ENSG00000134419	RPS15A	Predicted mitochondrial	NA
I3L3Q2	ENSG00000132530	XAF1	Predicted mitochondrial	NA
I3L3T0	ENSG00000217930	PAM16	Known mitochondrial	NA
I3L3T1	ENSG00000108953	YWHAE	Predicted mitochondrial	NA
I3L448	ENSG00000123472	ATPAF1	Known mitochondrial	NA
I3L479	ENSG00000108599	AKAP10	Known mitochondrial	NA
I3L4L7	ENSG00000126602	TRAP1	Known mitochondrial	NA
I3L509	ENSG00000132530	XAF1	Predicted mitochondrial	NA
I3L514	ENSG00000185624	P4HB	Known mitochondrial	NA
I3L534	ENSG00000132530	XAF1	Predicted mitochondrial	NA
I3NI04	ENSG00000108599	AKAP10	Known mitochondrial	NA
I3NI24	ENSG00000167699	GLOD4	Known mitochondrial	NA
I3NI27	ENSG00000167699	GLOD4	Known mitochondrial	NA
I3NI32	ENSG00000102967	DHODH	Known mitochondrial	NA
I6LPK7	ENSG00000087088	BAX	Known mitochondrial	NA
J3JS69	ENSG00000231500	RPS18	Predicted mitochondrial	NA
J3KMW3	ENSG00000102309	PIN4	Known mitochondrial	NA
J3KMW5	ENSG00000103254	FAM173A	Predicted mitochondrial	NA
J3KN11	ENSG00000134285	FKBP11	Predicted mitochondrial	NA
J3KN19	ENSG00000137500	CCDC90B	Known mitochondrial	NA
J3KN42	ENSG00000085491	SLC25A24	Known mitochondrial	NA
J3KN60	ENSG00000140374	ETFA	Known mitochondrial	NA
J3KN90	ENSG00000150756	FAM173B	Predicted mitochondrial	NA
J3KNA0	ENSG00000155463	OXA1L	Known mitochondrial	NA
J3KNC7	ENSG00000166347	CYB5A	Predicted mitochondrial	NA
J3KNF4	ENSG00000173992	CCS	Known mitochondrial	NA
J3KNF8	ENSG00000103018	CYB5B	Known mitochondrial	NA
J3KNI2	ENSG00000213563	C8orf82	Known mitochondrial	NA
J3KNJ8	ENSG00000110011	DNAJC4	Predicted mitochondrial	NA
J3KP21	ENSG00000198015	MRPL42	Known mitochondrial	NA
J3KP84	ENSG00000093144	ECHDC1	Known mitochondrial	NA
J3KPD9	ENSG00000011052	NME1-NME2	Predicted mitochondrial	NA
J3KPE3	ENSG00000204628	RACK1	Predicted mitochondrial	NA
J3KPI9	ENSG00000145247	OCIAD2	Known mitochondrial	NA
J3KPP0	ENSG00000198015	MRPL42	Known mitochondrial	NA
J3KPT4	ENSG00000170638	TRABD	Predicted mitochondrial	NA
J3KPV1	ENSG00000170791	CHCHD7	Predicted mitochondrial	NA
J3KPX7	ENSG00000215021	PHB2	Known mitochondrial	NA
J3KQ16	ENSG00000156113	KCNMA1	Known mitochondrial	NA
J3KQ18	ENSG00000099977	DDT	Predicted mitochondrial	NA
J3KQ48	ENSG00000141378	PTRH2	Known mitochondrial	NA
J3KQA4	ENSG00000114120	SLC25A36	Known mitochondrial	NA
J3KQI1	ENSG00000145832	SLC25A48	Known mitochondrial	NA
J3KQU2	ENSG00000173988	LRRC63	Predicted mitochondrial	NA
J3KQY1	ENSG00000082515	MRPL22	Known mitochondrial	NA
J3KR89	ENSG00000138796	HADH	Known mitochondrial	NA
J3KRB4	ENSG00000178127	NDUFV2	Known mitochondrial	NA
J3KRG8	ENSG00000161513	FDXR	Known mitochondrial	NA
J3KRJ3	ENSG00000075336	TIMM21	Known mitochondrial	NA
J3KRN5	ENSG00000154229	PRKCA	Predicted mitochondrial	NA
J3KRR9	ENSG00000177302	TOP3A	Known mitochondrial	NA
J3KRW4	ENSG00000006695	COX10	Known mitochondrial	NA
J3KS13	ENSG00000141367	CLTC	Predicted mitochondrial	NA
J3KS26	ENSG00000108387	Sep-04	Known mitochondrial	NA
J3KS64	ENSG00000161513	FDXR	Known mitochondrial	NA
J3KS77	ENSG00000108439	PNPO	Known mitochondrial	NA
J3KS78	ENSG00000178927	C17orf62	Predicted mitochondrial	NA
J3KS85	ENSG00000108387	Sep-04	Known mitochondrial	NA
J3KS96	ENSG00000177302	TOP3A	Known mitochondrial	NA
J3KSB6	ENSG00000178927	C17orf62	Predicted mitochondrial	NA
J3KSJ3	ENSG00000006695	COX10	Known mitochondrial	NA
J3KSJ5	ENSG00000178927	C17orf62	Predicted mitochondrial	NA
J3KSR2	ENSG00000149428	HYOU1	Predicted mitochondrial	NA
J3KSR5	ENSG00000126858	RHOT1	Known mitochondrial	NA
J3KSS5	ENSG00000167549	CORO6	Predicted mitochondrial	NA
J3KSZ7	ENSG00000108387	Sep-04	Known mitochondrial	NA
J3KTA9	ENSG00000153982	GDPD1	Predicted mitochondrial	NA
J3KTB2	ENSG00000171953	ATPAF2	Known mitochondrial	NA
J3KTG7	ENSG00000172171	TEFM	Known mitochondrial	NA
J3KTI1	ENSG00000178927	C17orf62	Predicted mitochondrial	NA
J3KTJ4	ENSG00000177427	MIEF2	Known mitochondrial	NA
J3QKK3	ENSG00000108384	RAD51C	Known mitochondrial	NA
J3QKK9	ENSG00000072210	ALDH3A2	Known mitochondrial	NA
J3QKW2	ENSG00000125445	MRPS7	Known mitochondrial	NA
J3QKW4	ENSG00000134265	NAPG	Known mitochondrial	NA
J3QKZ6	ENSG00000178927	C17orf62	Predicted mitochondrial	NA
J3QL20	ENSG00000141367	CLTC	Predicted mitochondrial	NA
J3QL32	ENSG00000183010	PYCR1	Known mitochondrial	NA
J3QL56	ENSG00000133028	SCO1	Known mitochondrial	NA
J3QL81	ENSG00000132199	ENOSF1	Known mitochondrial	NA
J3QL99	ENSG00000132199	ENOSF1	Known mitochondrial	NA
J3QLD3	ENSG00000100300	TSPO	Known mitochondrial	NA
J3QLF1	ENSG00000108439	PNPO	Known mitochondrial	NA
J3QLJ8	ENSG00000109016	DHRS7B	Predicted mitochondrial	NA
J3QLK1	ENSG00000109016	DHRS7B	Predicted mitochondrial	NA
J3QLQ8	ENSG00000180891	CUEDC1	Predicted mitochondrial	NA
J3QLR5	ENSG00000205309	NT5M	Known mitochondrial	NA
J3QLR8	ENSG00000181610	MRPS23	Known mitochondrial	NA
J3QLS3	ENSG00000125445	MRPS7	Known mitochondrial	NA
J3QLV6	ENSG00000167549	CORO6	Predicted mitochondrial	NA
J3QQN7	ENSG00000153982	GDPD1	Predicted mitochondrial	NA
J3QQX3	ENSG00000161513	FDXR	Known mitochondrial	NA
J3QQZ9	ENSG00000108439	PNPO	Known mitochondrial	NA
J3QR18	ENSG00000177302	TOP3A	Known mitochondrial	NA
J3QR30	ENSG00000177427	MIEF2	Known mitochondrial	NA
J3QR42	ENSG00000133028	SCO1	Known mitochondrial	NA
J3QR74	ENSG00000108599	AKAP10	Known mitochondrial	NA
J3QRD1	ENSG00000072210	ALDH3A2	Known mitochondrial	NA
J3QRG5	ENSG00000178927	C17orf62	Predicted mitochondrial	NA
J3QRN4	ENSG00000205309	NT5M	Known mitochondrial	NA
J3QRT6	ENSG00000108387	Sep-04	Known mitochondrial	NA
J3QRU3	ENSG00000108387	Sep-04	Known mitochondrial	NA
J3QS25	ENSG00000177302	TOP3A	Known mitochondrial	NA
J3QS28	ENSG00000134265	NAPG	Known mitochondrial	NA
J3QS34	ENSG00000178127	NDUFV2	Known mitochondrial	NA
J3QSB6	ENSG00000132199	ENOSF1	Known mitochondrial	NA
J3QSF9	ENSG00000161513	FDXR	Known mitochondrial	NA
J3QSS7	ENSG00000165898	ISCA2	Known mitochondrial	NA
J3QT61	ENSG00000132591	ERAL1	Known mitochondrial	NA
J3QTA6	ENSG00000159685	CHCHD6	Known mitochondrial	NA
J3QTB2	ENSG00000159685	CHCHD6	Known mitochondrial	NA
