"Gene.ID"	"Symbol"	"Homologs"	"Description"	"Category"	"Score"	"Evidence"	"Notes"	"OMIM_ID"	"Dis_description"	"DomRec"	"WashU"	"Disease"	"pLI"
"343"	"ENSG00000110011"	"DNAJC4"	"ENSG00000110011 ENSDARG00000024090 ENSMUSG00000024963 ENSRNOG00000043060 "	"DnaJ (Hsp40) homolog, subfamily C, member 4"	"Predicted mitochondrial"	0.999981977	"MTS_Mean: 0.76233125 | MammalMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 1 | Comm_Mito_Ratio: 0.261 | "	""	NA	NA	NA	NA	0	6.43771101373159e-06
"344"	"ENSG00000110074"	"FOXRED1"	"ENSG00000110074 ENSDARG00000099705 ENSMUSG00000039048 ENSRNOG00000060379 "	"FAD-dependent oxidoreductase domain containing 1"	"Known mitochondrial"	1	"PMID23956156_INS.1Beta_cell_line__0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 4 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 2 | MS_Liver_Sum: 1 | MTS_Mean: 0.60123125 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | MammalMitoEvidenceGFP: 1 | compartments_knowledge_difference: 2 | Cluh_Enrichment: 1 | "	"OMIM:613622"	"256000,252010"	"Leigh syndrome; Mitochondrial complex I deficiency"	"R"	"MitoDis"	1	4.09171835158384e-11
"345"	"ENSG00000110090"	"CPT1A"	"ENSG00000110090 ENSDARG00000059770 ENSMUSG00000024900 ENSRNOG00000014254 "	"carnitine palmitoyltransferase 1A (liver)"	"Known mitochondrial"	1	"PMID14651853_Sum: 2 | PMID16415296_unknown_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12865426_liver_0: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID16615899_liver_0: 1 | PMID17000643_Sum: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 6 | MS_Kidney_Sum: 2 | MS_Heart_Sum: 1 | MTS_Mean: 0.03274375 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | compartments_knowledge_difference: 3 | Comm_Mito_Ratio: 0.55 | "	"OMIM:600528"	"255120"	"Caritine palmitoyltransferase I deficiency"	"R"	"MitoDis"	1	0.9391397334386
"346"	"ENSG00000110435"	"PDHX"	"ENSG00000110435 ENSDARG00000051756 ENSMUSG00000010914 ENSRNOG00000006947 "	"pyruvate dehydrogenase complex, component X"	"Known mitochondrial"	1	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 1 | PMID15253431_Sum: 2 | PMID16415296_unknown_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID15501831_Sum: 1 | PMID16615898_Sum: 4 | PMID21189371_mammary_gland_0: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 4 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 6 | MTS_Mean: 0.64361875 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 2 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.962 | "	"Characterised"	"245349"	"Pyruvate dehydrogenase E3-binding protein deficiency"	"R"	"MitoDis"	1	0.00137028838511485
"347"	"ENSG00000110497"	"AMBRA1"	"ENSG00000110497 ENSDARG00000039878 ENSMUSG00000040506 ENSRNOG00000017422 "	"autophagy/beclin-1 regulator 1"	"Predicted mitochondrial"	0.96469617	"PMID26450961_Sum: 1 | MS_Brain_Sum: 1 | MTS_Mean: 0.5437375 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: -0.2 | Comm_Mito_Ratio: 0.238 | "	""	NA	NA	NA	NA	0	0.999971640508962
"348"	"ENSG00000110536"	"PTPMT1"	"ENSG00000110536 ENSDARG00000013860 ENSRNOG00000009723 "	"protein tyrosine phosphatase, mitochondrial 1"	"Known mitochondrial"	0.999998455	"PMID17519225_T_leukemia_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID26217684_brain_0: 1 | MS_Brain_Sum: 1 | MS_Skeletal_Muscle_Sum: 1 | MTS_Mean: 0.1125625 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | compartments_knowledge_difference: 0.4 | Comm_Mito_Ratio: 0.4 | "	"Metabolic model"	NA	NA	NA	NA	0	0.459152455272006
"349"	"ENSG00000110717"	"NDUFS8"	"ENSG00000110717 ENSDARG00000051986 ENSMUSG00000059734 ENSRNOG00000017446 "	"NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)"	"Known mitochondrial"	0.999999999	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 4 | PMID15253431_Sum: 2 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12210211_Sum: 1 | PMID12601808_placenta_0: 1 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID15501831_Sum: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID16120276_neuroblastoma_cell_line_SH.SY5Y_0: 1 | PMID16615899_liver_0: 1 | PMID21189371_mammary_gland_0: 1 | PMID21672642_liver_0: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 6 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 5 | MS_Kidney_Sum: 2 | MS_Heart_Sum: 7 | MTS_Mean: 0.90699375 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 2 | Comm_Mito_Ratio: 1 | "	"Characterised; Metabolic model; "	"256000"	"Leigh syndrome"	"R"	"MitoDis"	1	0.0141745022672731
"350"	"ENSG00000110719"	"TCIRG1"	"ENSG00000110719 ENSDARG00000016835 ENSMUSG00000001750 ENSRNOG00000017220 "	"T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3"	"Predicted mitochondrial"	0.993037482	"PMID19700791_liver_0: 1 | PMID26450961_Sum: 4 | PMID16615898_Sum: 1 | MS_Placenta_Sum: 2 | MS_Liver_Sum: 2 | MTS_Mean: 0.03385 | hela_subcell_location_NotMitochondrion: 1 | HPA_Mitochondria: 1 | MammalMitoEvidenceGFP: 1 | compartments_knowledge_difference: -0.6 | Comm_Mito_Ratio: 0.833 | "	""	"259700"	"Osteopetrosis, autosomal recessive 1"	"R"	NA	1	6.03647247019708e-06
"351"	"ENSG00000110871"	"COQ5"	"ENSG00000110871 ENSDARG00000035618 ENSMUSG00000041733 ENSRNOG00000001171 SPCC4G3.04c YML110C "	"coenzyme Q5, methyltransferase"	"Known mitochondrial"	0.999999999	"PMID12592411_heart_0: 1 | PMID15253431_Sum: 1 | PMID16415296_unknown_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 2 | PMID26450961_Sum: 14 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID16582907_liver_0: 1 | PMID16615898_Sum: 2 | PMID21189371_mammary_gland_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 4 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 3 | MS_Kidney_Sum: 2 | MS_Heart_Sum: 5 | MTS_Mean: 0.8329125 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | YeastMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 1.8 | Comm_Mito_Ratio: 1 | "	"Characterised"	NA	NA	NA	NA	0	7.95018460631921e-05
"352"	"ENSG00000110888"	"CAPRIN2"	"ENSG00000110888 ENSDARG00000020749 ENSMUSG00000030309 ENSRNOG00000047319 "	"caprin family member 2"	"Known mitochondrial"	0.771699974	"MTS_Mean: 0.0970625 | HPA_NonMitochondria: 1 | HPA_Cytoplasm: 1 | compartments_knowledge_difference: 1 | Comm_Mito_Ratio: 0.143 | "	"Literature; PMID: 14593112, short isoform only"	NA	NA	NA	NA	0	0.0120891274382742
"353"	"ENSG00000110911"	"SLC11A2"	"ENSG00000110911 ENSDARG00000024295 ENSMUSG00000023030 ENSRNOG00000019550 SPAC27F1.08 YHR050W "	"solute carrier family 11 (proton-coupled divalent metal ion transporter), member 2"	"Known mitochondrial"	0.215953144	"MTS_Mean: 0.01055 | hela_subcell_location_NotMitochondrion: 1 | HPA_Mitochondria: 1 | compartments_knowledge_difference: -1.2 | Comm_Mito_Ratio: 0.143 | "	"Literature; PMID:24448823 (DMT1) OMM"	"206100"	"Anemia, hypochromic microcytic, with iron overload 1"	"R"	NA	1	0.00623523691810572
"354"	"ENSG00000110917"	"MLEC"	"ENSG00000110917 ENSDARG00000059630 ENSMUSG00000048578 ENSRNOG00000021725 "	"malectin"	"Predicted mitochondrial"	0.930147096	"PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID15501831_Sum: 1 | PMID16615898_Sum: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Brain_Sum: 3 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 1 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 1 | MTS_Mean: 0.12045625 | hela_subcell_location_NotMitochondrion: 1 | compartments_knowledge_difference: -1.6 | Comm_Mito_Ratio: 0.2 | "	""	NA	NA	NA	NA	0	0.470920638317783
"355"	"ENSG00000110955"	"ATP5B"	"ENSG00000110955 ENSDARG00000070083 ENSMUSG00000025393 ENSRNOG00000002840 SPAC222.12c YJR121W "	"ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide"	"Known mitochondrial"	0.99495768	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 4 | PMID15253431_Sum: 2 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID11840540_liver_0: 1 | PMID12210211_Sum: 1 | PMID12601808_placenta_0: 1 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID12865426_liver_0: 1 | PMID15501831_Sum: 2 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID16120276_neuroblastoma_cell_line_SH.SY5Y_0: 1 | PMID16520066_articular_chondrocytes_0: 1 | PMID16615898_Sum: 6 | PMID16615899_liver_0: 1 | PMID16674101_Sum: 5 | PMID17000643_Sum: 2 | PMID18232058_liver_0: 1 | PMID19834913_skeletal_muscle_0: 1 | PMID21189371_mammary_gland_0: 1 | PMID21360670_skeletal_muscle_0: 1 | PMID21672642_liver_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 3 | MS_Brain_Sum: 9 | MS_Skeletal_Muscle_Sum: 5 | MS_Liver_Sum: 12 | MS_Kidney_Sum: 4 | MS_Heart_Sum: 9 | MTS_Mean: 0.6573125 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | YeastMitoEvidenceGFP: 1 | MammalMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 1.2 | Comm_Mito_Ratio: 0.909 | "	"Characterised; Metabolic model; "	NA	NA	NA	NA	0	0.991635070003861
"356"	"ENSG00000111012"	"CYP27B1"	"ENSG00000111012 ENSDARG00000045015 ENSMUSG00000006724 ENSRNOG00000046214 "	"cytochrome P450, family 27, subfamily B, polypeptide 1"	"Known mitochondrial"	0.999999316	"MTS_Mean: 0.80649375 | HPA_NonMitochondria: 1 | HPA_Cytoplasm: 1 | compartments_knowledge_difference: 3 | Comm_Mito_Ratio: 0.25 | "	"Characterised"	"264700"	"Vitamin D hydroxylation-deficient rickets, type 1A"	"R"	"MitoDis"	1	3.60155144475408e-06
"357"	"ENSG00000111058"	"ACSS3"	"ENSG00000111058 ENSDARG00000032218 ENSMUSG00000035948 ENSRNOG00000004448 "	"acyl-CoA synthetase short-chain family member 3"	"Known mitochondrial"	0.999999918	"PMID19700791_liver_0: 1 | PMID26450961_Sum: 5 | MS_Placenta_Sum: 1 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 1 | MTS_Mean: 0.36115 | HPA_Mitochondria: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 1.6 | Comm_Mito_Ratio: 0.842 | "	"Characterised; Metabolic model; "	NA	NA	NA	NA	0	2.99940752851555e-11
"358"	"ENSG00000111271"	"ACAD10"	"ENSG00000111271 ENSMUSG00000029456 ENSRNOG00000037815 "	"acyl-CoA dehydrogenase family, member 10"	"Known mitochondrial"	0.999999999	"PMID14651853_Sum: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 12 | PMID16615898_Sum: 2 | PMID16615899_liver_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 3 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 3 | MS_Kidney_Sum: 3 | MS_Heart_Sum: 2 | MTS_Mean: 0.66558125 | compartments_knowledge_difference: 2 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.1 | "	"OMIM:611181"	NA	NA	NA	NA	0	4.01457480802773e-20
"359"	"ENSG00000111275"	"ALDH2"	"ENSG00000111275 ENSDARG00000089924 ENSMUSG00000029455 ENSRNOG00000001344 "	"aldehyde dehydrogenase 2 family (mitochondrial)"	"Known mitochondrial"	0.999999994	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 4 | PMID15253431_Sum: 1 | PMID16415296_unknown_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID11840540_liver_0: 1 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID15507458_liver_0: 1 | PMID16120276_neuroblastoma_cell_line_SH.SY5Y_0: 1 | PMID16615898_Sum: 6 | PMID16615899_liver_0: 1 | PMID16674101_Sum: 2 | PMID17000643_Sum: 1 | PMID21189371_mammary_gland_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 8 | MS_Skeletal_Muscle_Sum: 3 | MS_Liver_Sum: 9 | MS_Kidney_Sum: 3 | MS_Heart_Sum: 6 | MTS_Mean: 0.9606 | YeastMitoEvidenceGFP: 1 | MammalMitoEvidenceGFP: 1 | compartments_knowledge_difference: 1.2 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.545 | "	"Characterised"	NA	NA	NA	"MitoDis"	1	1.73245219738394e-06
"360"	"ENSG00000111639"	"MRPL51"	"ENSG00000111639 ENSDARG00000041340 ENSMUSG00000030335 ENSRNOG00000019165 "	"mitochondrial ribosomal protein L51"	"Known mitochondrial"	0.999999995	"PMID17705834_embryonic_stem_cell_line_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 13 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 4 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 1 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 1 | MTS_Mean: 0.9470875 | HPA_Mitochondria: 1 | compartments_knowledge_difference: 1 | Comm_Mito_Ratio: 0.902 | "	"Characterised"	NA	NA	NA	NA	0	0.0667471984789823
"361"	"ENSG00000111640"	"GAPDH"	"ENSG00000111640 ENSDARG00000043457 ENSMUSG00000057666 ENSRNOG00000018630 "	"glyceraldehyde-3-phosphate dehydrogenase"	"Predicted mitochondrial"	0.977167838	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 1 | PMID15253431_Sum: 2 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID24708184_Sum: 4 | PMID15507458_liver_0: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID16120276_neuroblastoma_cell_line_SH.SY5Y_0: 1 | PMID16520066_articular_chondrocytes_0: 1 | PMID16615898_Sum: 6 | PMID16674101_Sum: 1 | PMID19834913_skeletal_muscle_0: 1 | PMID21189371_mammary_gland_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 3 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 4 | MTS_Mean: 0.661 | hela_subcell_location_NotMitochondrion: 1 | HPA_NonMitochondria: 1 | HPA_Cytoplasm: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: -1.8 | Comm_Mito_Ratio: 0.355 | "	""	NA	NA	NA	NA	0	0.180460004147139
"362"	"ENSG00000111647"	"UHRF1BP1L"	"ENSG00000111647 ENSDARG00000004055 ENSMUSG00000019951 ENSRNOG00000050317 "	"UHRF1 binding protein 1-like"	"Predicted mitochondrial"	0.876272156	"PMID26450961_Sum: 14 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 3 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 1 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 1 | MTS_Mean: 0.20945625 | HPA_NonMitochondria: 1 | "	""	NA	NA	NA	NA	0	0.989377600602275
"363"	"ENSG00000111669"	"TPI1"	"ENSG00000111669 ENSDARG00000025012 ENSMUSG00000023456 ENSRNOG00000015290 SPCC24B10.21 YDR050C "	"triosephosphate isomerase 1"	"Predicted mitochondrial"	0.968808606	"PMID12592411_heart_0: 1 | PMID15253431_Sum: 2 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID11840540_liver_0: 1 | PMID15507458_liver_0: 1 | PMID16520066_articular_chondrocytes_0: 1 | PMID16615898_Sum: 5 | PMID19834913_skeletal_muscle_0: 1 | PMID21360670_skeletal_muscle_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 4 | MS_Skeletal_Muscle_Sum: 3 | MS_Liver_Sum: 4 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 5 | MTS_Mean: 0.05119375 | hela_subcell_location_NotMitochondrion: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: -2.8 | Comm_Mito_Ratio: 0.371 | "	""	"615512"	"Hemolytic anemia due to triosephosphate isomerase deficiency"	"R"	NA	1	0.581366832186706
"364"	"ENSG00000111696"	"NT5DC3"	"ENSG00000111696 ENSDARG00000062949 ENSMUSG00000054027 ENSRNOG00000026793 "	"5-nucleotidase domain containing 3"	"Known mitochondrial"	0.985328061	"PMID23956156_INS.1Beta_cell_line__0: 1 | PMID24708184_Sum: 3 | PMID26450961_Sum: 8 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 4 | MS_Skeletal_Muscle_Sum: 1 | MTS_Mean: 0.682075 | "	"APEX; PMID:23371551"	NA	NA	NA	NA	0	0.000112402109573626
"365"	"ENSG00000111737"	"RAB35"	"ENSG00000111737 ENSDARG00000102078 ENSMUSG00000029518 ENSRNOG00000022014 "	"RAB35, member RAS oncogene family"	"Known mitochondrial"	0.964369122	"PMID12592411_heart_0: 1 | PMID18348319_heart_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 1 | PMID26450961_Sum: 14 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 3 | MTS_Mean: 0.03810625 | hela_subcell_location_NotMitochondrion: 1 | compartments_knowledge_difference: -1.0 | Comm_Mito_Ratio: 0.167 | "	"OMIM:604199"	NA	NA	NA	NA	0	0.979782361188921
"366"	"ENSG00000111775"	"COX6A1"	"ENSG00000111775 ENSMUSG00000041697 ENSRNOG00000001170 "	"cytochrome c oxidase subunit VIa polypeptide 1"	"Known mitochondrial"	1	"PMID14651853_Sum: 3 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID24708184_Sum: 2 | PMID26450961_Sum: 14 | PMID16615898_Sum: 5 | PMID16674101_Sum: 2 | PMID17000643_Sum: 1 | PMID21189371_mammary_gland_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 6 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 5 | MS_Kidney_Sum: 4 | MS_Heart_Sum: 2 | MTS_Mean: 0.7163625 | compartments_knowledge_difference: 3 | Comm_Mito_Ratio: 0.941 | "	"Characterised; Metabolic model; "	"616039"	"Charcot-Marie-Tooth disease, recessive intermediate D"	"R"	"MitoDis"	1	0.0609575623120839
"367"	"ENSG00000111790"	"FGFR1OP2"	"ENSG00000111790 ENSDARG00000009657 ENSMUSG00000040242 ENSRNOG00000001811 "	"FGFR1 oncogene partner 2"	"Predicted mitochondrial"	0.815717322	"MTS_Mean: 0.1460625 | HPA_Mitochondria: 1 | Comm_Mito_Ratio: 0.095 | "	""	NA	NA	NA	NA	0	0.42972800313106
"368"	"ENSG00000111843"	"TMEM14C"	"ENSG00000111843 ENSMUSG00000021361 ENSRNOG00000015437 "	"transmembrane protein 14C"	"Predicted mitochondrial"	0.99999994	"PMID14651853_Sum: 4 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID24708184_Sum: 1 | PMID26450961_Sum: 14 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 2 | MS_Heart_Sum: 3 | MTS_Mean: 0.01084375 | hela_subcell_location_Mitochondrion: 1 | compartments_knowledge_difference: 2.2 | "	""	NA	NA	NA	NA	0	0.121418783802206
"369"	"ENSG00000111906"	"HDDC2"	"ENSG00000111906 ENSDARG00000034957 ENSMUSG00000000295 ENSRNOG00000021442 SPCC4G3.17 YGL101W "	"HD domain containing 2"	"Predicted mitochondrial"	0.9483737	"PMID24708184_Sum: 3 | PMID26450961_Sum: 7 | MS_Brain_Sum: 4 | MTS_Mean: 0.76355 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: -0.4 | "	""	NA	NA	NA	NA	0	0.00127336194428677
"370"	"ENSG00000112031"	"MTRF1L"	"ENSG00000112031 ENSDARG00000060005 ENSMUSG00000019774 ENSRNOG00000018773 "	"mitochondrial translational release factor 1-like"	"Known mitochondrial"	0.999998639	"PMID26450961_Sum: 1 | MTS_Mean: 0.73508125 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 1.8 | Comm_Mito_Ratio: 1 | "	"Characterised"	NA	NA	NA	NA	0	4.39782481222077e-07
"371"	"ENSG00000112096"	"SOD2"	"ENSG00000112096 ENSDARG00000042644 ENSMUSG00000006818 ENSRNOG00000019048 SPAC1486.01 YHR008C "	"superoxide dismutase 2, mitochondrial"	"Known mitochondrial"	0.999981127	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 4 | PMID15253431_Sum: 2 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID11840540_liver_0: 1 | PMID12601808_placenta_0: 1 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID12865426_liver_0: 1 | PMID15501831_Sum: 2 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID16120276_neuroblastoma_cell_line_SH.SY5Y_0: 1 | PMID16520066_articular_chondrocytes_0: 1 | PMID16615898_Sum: 6 | PMID16615899_liver_0: 1 | PMID17000643_Sum: 2 | PMID18232058_liver_0: 1 | PMID21189371_mammary_gland_0: 1 | PMID21360670_skeletal_muscle_0: 1 | PMID26217684_brain_0: 1 | PMID9638947_placenta_0: 1 | MS_Placenta_Sum: 4 | MS_Brain_Sum: 8 | MS_Skeletal_Muscle_Sum: 3 | MS_Liver_Sum: 10 | MS_Kidney_Sum: 3 | MS_Heart_Sum: 7 | MTS_Mean: 0.93658125 | hela_subcell_location_Mitochondrion: 1 | YeastMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 0.2 | Comm_Mito_Ratio: 0.906 | "	"Characterised; Metabolic model; "	NA	NA	NA	"MitoDis"	1	0.237154646295316
